Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
The model version underlying a working workflow is being updated. What does the team need to do?,multiple-choice,"Rewrite the prompt, since prompts are tuned to the version they were developed against.",,"Nothing, provided the workflow's outputs are reviewed before they are used.",,"Re-run their evaluation cases, since behaviour may differ in ways the prompt assumes.",,Delay the update until the current version is no longer available to them.,,,,,,3,"A prompt encodes assumptions about how a particular version behaves, and an update can shift phrasing, verbosity or how an edge case is handled. Re-running the known cases is what turns that from a surprise into a check. Rewriting pre-emptively assumes a problem, and relying on downstream review shifts the discovery onto users.",D3 Product & Model Selection
A team debates whether to connect a live data source or upload extracts periodically. What decides it?,multiple-choice,Whether the data source supports a connector without additional development.,,Whether the team has permission to grant access to the data source.,,Whether the volume of data is too large to upload as a file each time.,,Whether the work requires data that is current at the moment of asking.,,,,,,4,"A connector's distinctive value is currency without a manual step; where a periodic extract is fresh enough, it is simpler and keeps the exposure bounded. Volume, technical feasibility and permission are all constraints that shape whether the option is available rather than whether it is the right one.",D3 Product & Model Selection
What does a Project not do that teams frequently assume it does?,multiple-choice,Carry what was learned in one conversation into the next one.,,Apply its instructions consistently to each conversation started in it.,,Keep its configuration in one place for everyone with access to it.,,Make its knowledge documents available to every conversation in it.,,,,,,1,"Projects persist configuration, not conversation. Each conversation starts fresh against the same instructions and knowledge, so a correction made in one does not carry to the next and a clarification agreed on Monday is gone by Tuesday. The other three are precisely what a Project does provide.",D3 Product & Model Selection
A task is straightforward but the volume is very high. Which consideration should dominate the model choice?,multiple-choice,"Context capacity, since high volume requires more material to be held at once.",,"Consistency, since a high volume makes variation between items more visible.",,"Capability, since a small quality difference is also multiplied by the volume.",,"Cost and speed per item, since the per-item difference is multiplied by the volume.",,,,,,4,"At volume the economics of the per-item choice dominate, and a straightforward task is one where the cheaper tier's output is not materially different. That is the entire case for tier selection. Quality would dominate if the task were not straightforward, and context capacity is a property of each item rather than of the volume.",D3 Product & Model Selection
Someone proposes doing all their work on whichever surface is most convenient at the time. What is the practical issue?,multiple-choice,"Output quality varies between surfaces, since each is optimized for different use.",,"Some capabilities are not available everywhere, so the work may not be reproducible.",,Conversations started on one surface cannot be continued on another one.,,Configuration must be repeated on each surface the person chooses to use.,,,,,,2,"Feature availability differs across surfaces, so a workflow developed with one set of capabilities may not run the same way elsewhere, which matters when others have to reproduce it. The model and its output do not change by surface, and conversations and configuration are tied to the account rather than the device.",D3 Product & Model Selection
A capable model is being used for a task where the response must arrive within a few seconds. What is the tension?,multiple-choice,Capability and context capacity trade against one another at this response speed.,,"Capability and latency trade against one another, and the requirement binds.",,"Capability and cost trade against one another, and the volume determines which wins.",,Capability and consistency trade against one another on time-limited tasks.,,,,,,2,"A hard latency requirement is a binding constraint, and it selects the tier regardless of what capability would be preferred. Naming which constraint binds is what makes the choice defensible. Cost is a separate axis that matters at volume, and neither consistency nor context is traded against capability in this way.",D3 Product & Model Selection
A new assisted workflow is ready and the existing manual process still runs. What does running both for a period achieve?,multiple-choice,Time for the team to become familiar with the new workflow before relying on it.,,"A gradual transition, so the change does not disrupt the work while it is happening.",,"Confidence for stakeholders, who can see the new workflow operating before committing.",,"A direct comparison on the same work, with the manual result available as a fallback.",,,,,,4,"Parallel running produces matched pairs on identical inputs, which is the strongest evidence available about whether the new process performs, and the old result covers any case where it does not. Familiarity, confidence and smoothness are genuine benefits that would not on their own justify doing the work twice.",D4 Workflow Integration & Solution Design
How long should a pilot run before a decision is taken?,multiple-choice,Long enough for the initial problems to be identified and corrected.,,Long enough for the team involved to become proficient with the workflow.,,Long enough to accumulate a sample large enough to be statistically meaningful.,,Long enough to see the cases that are uncommon but not rare.,,,,,,4,"Pilots fail in production on the periodic and the awkward: month-end, the unusual customer type, the exception that arrives every few weeks. Covering that cycle is what makes the result predictive. Volume, proficiency and debugging are all necessary and none of them guarantees the difficult cases were seen.",D4 Workflow Integration & Solution Design
An assisted step performs well and the process it sits in is itself poorly designed. What follows?,multiple-choice,"The integration will make a bad process faster, which is not the improvement sought.",,"The integration is still worthwhile, since speed is a benefit whatever the process.",,"The integration will expose the process's weaknesses, which is useful in itself.",,The integration should be paused until the process has been redesigned properly.,,,,,,1,"Automating a flawed process industrializes the flaw and often entrenches it, since the cost of change rises once the tooling is built around it. Naming that plainly is the architect's contribution. Whether to pause or proceed is a judgment for the owners, taken with the point understood rather than assumed.",D4 Workflow Integration & Solution Design
What should stakeholders be told about error rates before a workflow goes live?,multiple-choice,"The measured rate, and what happens to the errors that get through.",,That the rate will improve as the workflow is refined over time.,,"That errors are possible, and that a review step is in place to catch them.",,That the rate is lower than the manual process it is replacing.,,,,,,1,An expectation set with a number and a consequence survives the first error; one set with reassurance does not. Saying what proportion is wrong and what the process does about it is what makes the later incident a known case rather than a surprise. Comparative and improving claims need their own evidence.,D4 Workflow Integration & Solution Design
The assisted step and the human reviewer reach different conclusions on a case. What must the design specify?,multiple-choice,"Which prevails, and what happens to the disagreement afterwards.",,"That the human's conclusion prevails, since accountability rests with them.",,"That the case is escalated, since a disagreement indicates a difficult case.",,"That the case is reprocessed, so that a second output can be compared.",,,,,,1,Leaving the resolution undefined produces inconsistent handling and loses the most valuable signal the workflow generates: the cases where the two disagree are where the design's limits are visible. Human precedence is usually the right rule and is not sufficient on its own without a route for the disagreement to be captured and used.,D4 Workflow Integration & Solution Design
Staff will be affected by a change to how their work is done. What does that require beyond the technical design?,multiple-choice,Training them on the new workflow before it becomes part of their work.,,Consulting them in the way the organization's obligations and agreements require.,,"Informing them once the design is settled, so the change is not a surprise.",,Reassuring them that the change is intended to support rather than replace them.,,,,,,2,"Changes to working practice frequently carry consultation obligations under agreements or law, and these are procedural requirements with timing attached rather than matters of good manners. Meeting them is a precondition. Information, training and reassurance are all part of a good rollout and none of them discharges a consultation obligation.",D4 Workflow Integration & Solution Design
A workflow will be examined in an audit. What documentation does that require?,multiple-choice,"The measurements taken, which show the workflow performed as intended.",,"The prompts and configuration, which show how the outputs were produced.",,The approvals obtained before the workflow was permitted to go live.,,"What the workflow does, what controls apply, and evidence they operated.",,,,,,4,"An audit tests whether controls exist and whether they actually ran, so it needs the description, the control design, and the evidence from the period. Prompts, approvals and performance data are all inputs to that and none of them demonstrates that the checks operated on the work that was done.",D4 Workflow Integration & Solution Design
An assisted workflow has freed a substantial amount of staff time. What should the design have addressed?,multiple-choice,Whether the saving justifies the cost of building and running the workflow.,,How the saving is distributed across the individuals whose work changed.,,"What that time is now for, decided rather than left to be absorbed.",,"How the saving will be measured, so that the benefit can be reported.",,,,,,3,Unallocated freed time is absorbed invisibly and the benefit never materializes as anything the organization can point to. Deciding what it is for is what converts a measured saving into a realized one. Measurement and cost justification precede this and describe the saving rather than what happens to it.,D4 Workflow Integration & Solution Design
A live workflow has produced a significant error that reached its recipients. What should stakeholders be told?,multiple-choice,That the workflow has been paused pending an investigation of the cause.,,"What happened, what its effect was, and what is being done about it.",,That the error was an isolated case and the workflow otherwise performs well.,,That the review step failed on this occasion and has since been strengthened.,,,,,,2,"Communication after a failure needs the facts, the impact and the response, in that order, and it needs to go out before the investigation concludes. Claiming isolation before the cause is known is a claim that may not survive, and describing a fix presumes a diagnosis that has not yet been made.",D4 Workflow Integration & Solution Design
Who should authorize a workflow going live?,multiple-choice,Whoever is accountable for the process and its outcomes.,,Whoever owns the systems the workflow depends on to run.,,The team that designed and built the assisted workflow.,,The people who will be operating the workflow day to day.,,,,,,1,"Go-live is an acceptance of risk on behalf of the process, so it belongs to whoever answers for that process when something goes wrong. Builders, system owners and operators all have necessary input and none of them carries the accountability that makes the authorization meaningful.",D4 Workflow Integration & Solution Design
Where do worked examples of good output belong in a Project?,multiple-choice,"With the instructions, since they demonstrate the standard being required.",,"In neither, since examples belong in the prompt for the specific request.",,"In the knowledge, since they are documents like any other reference material.",,"In the knowledge, provided the instructions point at them explicitly.",,,,,,1,"Examples shape behaviour rather than supplying subject matter, which puts them with the instructions where the standard is set. Filing them as knowledge mixes demonstrations of form with material about the subject, and the model may draw on their content as though it were reference material.",D5 Configuration & Knowledge Management
Which Project instruction is written so that compliance can actually be checked?,multiple-choice,Outputs should reflect the team's established standards of quality.,,Every output must cite the policy section it relies on.,,Outputs should be thorough without becoming unnecessarily long.,,Outputs should be appropriate to the audience receiving them.,,,,,,2,"A checkable instruction states an observable property of the output, so a reviewer can answer yes or no by looking at it. The others describe intentions that two reviewers would apply differently, which means they neither direct the output reliably nor support a review.",D5 Configuration & Knowledge Management
A knowledge document is relevant to about a fifth of the work done in a Project. What follows?,multiple-choice,"It should be summarized, so that it occupies less space in the conversations it does not serve.",,It indicates the Project's scope is too broad and should be narrowed to fit the document.,,"It competes for attention in every conversation, including the four fifths it does not serve.",,"It should be removed, since knowledge should apply to all of the work in a Project.",,,,,,3,"Knowledge applies to every conversation in the Project whether or not it is relevant, so partially applicable material is a standing cost. Whether to accept that, split the Project, or supply the document per conversation is a judgment. Removing it outright or reshaping the Project around one document both overreact to the observation.",D5 Configuration & Knowledge Management
Who should be able to change a shared Project's configuration?,multiple-choice,"Everyone using it, so that improvements can be made as they are identified.",,"Only the person who created it, since they understand its design best.",,Anyone who has completed training on how the Project is intended to work.,,"A named person or small group, with the rest able to use it.",,,,,,4,"Shared configuration governs everyone's output, so change needs to be deliberate and attributable, which a small owning group provides while keeping the Project responsive. Open editing produces untraceable drift, and restricting to the original creator makes the Project fragile the moment they are unavailable.",D5 Configuration & Knowledge Management
A Project is no longer in active use but its outputs are still referenced. What should happen to it?,multiple-choice,"Delete it, since it is no longer needed for the work the team is doing.",,"Preserve its configuration as a record, and prevent further use of it.",,Archive its conversations and remove the Project itself from the workspace.,,"Leave it available, in case someone needs to produce something similar.",,,,,,2,"The configuration explains how the referenced outputs were produced, so it is part of the record and should survive. What should not survive is the ability to keep generating from a configuration nobody is maintaining. Deleting destroys the explanation, and leaving it open invites use of stale instructions and knowledge.",D5 Configuration & Knowledge Management
A Project instruction refers to a document by name. What must be true for that to work?,multiple-choice,"The document has to be in the Project's knowledge, or the reference means nothing.",,"The document has to be named exactly as it appears, so the reference resolves correctly.",,"The document has to be current, so the instruction refers to the applicable version.",,The document has to be accessible to everyone who uses the Project's configuration.,,,,,,1,"An instruction can only direct attention to material that is actually present; naming a document the Project does not hold produces confident behaviour based on an assumption about what it says. Exact naming, currency and access all matter once the document is in place and none of them substitutes for its being there.",D5 Configuration & Knowledge Management
"What should trigger a review of a Project's configuration, beyond the schedule?",multiple-choice,An output that a user found unsatisfactory for their particular purpose.,,"A period of unusually heavy use, which stresses the configuration more.",,"A change in the rules, the material, or the work the Project supports.",,A change in the people using the Project on a day-to-day basis.,,,,,,3,"The configuration was fitted to a set of circumstances, and it is those circumstances changing that invalidates it: a revised policy, a new document set, a shift in what the team is being asked to do. Usage volume and staffing do not affect whether the configuration is correct, and a single unsatisfactory output is weak evidence.",D5 Configuration & Knowledge Management
A regulated activity has rules about who may give advice. What does that mean for a Claude-assisted process in that area?,multiple-choice,The rules apply to the person communicating the advice rather than to its preparation.,,"The rules apply unchanged, and the process has to be designed to satisfy them.",,The rules require the assistance to be disclosed to the person receiving the advice.,,The rules require an authorized person to review the output before it is issued.,,,,,,2,"Sector regulation is written about the activity, and introducing a tool does not create an exemption or a separate regime. The design has to satisfy the existing rules, which may well require authorization, review and disclosure. Assuming any one of those is the requirement, without establishing what the rules actually say, is the error.","D6 Governance, Risk & Responsible Use"
Material concerning children or other vulnerable people is to be processed. What does that change?,multiple-choice,Consent must be obtained from the individuals before the processing may begin.,,The material must be de-identified before it can be processed in any form.,,"The threshold for proceeding rises, and additional protections generally apply.",,The processing must be approved by someone senior within the organization.,,,,,,3,"Data about people who cannot protect their own interests attracts heightened obligations across most regimes, and the practical effect is a higher bar for whether to proceed at all as well as stronger controls if you do. Consent, de-identification and approval may each be part of that and none of them is the general rule.","D6 Governance, Risk & Responsible Use"
An organization has told customers that their cases are handled by a person. What follows for an assisted workflow?,multiple-choice,The commitment applies to the outcome rather than to how it was produced.,,The commitment is satisfied provided a person reviews the assisted output.,,The commitment should be updated to reflect how the process now works.,,"The commitment binds, and the design has to be consistent with what was said.",,,,,,4,"A representation made to customers is a commitment, and the design has to be built to it. Whether review satisfies it depends on what was actually said and understood, which is a question to answer rather than assume. Changing the commitment is legitimate and requires telling customers rather than quietly reinterpreting it.","D6 Governance, Risk & Responsible Use"
How should an organization detect inappropriate internal use of an approved tool?,multiple-choice,By auditing a sample of conversations periodically for compliance.,,By monitoring in a way that was disclosed to staff in advance.,,By restricting the tool so that inappropriate use is not possible.,,By requiring staff to report their own use against the policy.,,,,,,2,"Monitoring staff activity is itself governed, and doing it without prior notice creates a second problem while addressing the first. Disclosure is what makes the control legitimate. Sampling is a method within that, self-reporting misses what it is meant to catch, and technical restriction cannot anticipate every misuse.","D6 Governance, Risk & Responsible Use"
An error in an assisted process has caused demonstrable harm to a customer. What obligation is most likely engaged?,multiple-choice,Compensating the customer for the loss that they have suffered.,,Suspending the process until the cause has been fully established.,,Reporting it through whatever route the applicable regime requires.,,Disclosing to the customer that a tool was involved in the error.,,,,,,3,"Harm in a regulated context typically triggers a notification obligation with a defined timescale, and missing it compounds the original failure. Remediation, suspension and disclosure are all likely to follow and are decisions the organization takes, whereas the reporting requirement is imposed and time-bound.","D6 Governance, Risk & Responsible Use"
"What makes a use of Claude appropriate, beyond producing useful output?",multiple-choice,That it is consistent with the obligations and commitments that bind the work.,,That it has been approved by the organization's governance process.,,That it is more reliable than the process it is replacing or supporting.,,That the people affected by it would consider it reasonable if they knew.,,,,,,1,"Appropriateness is a question of whether the use sits within the rules, contracts and representations that govern the activity, which is what output quality cannot establish. The reasonable-person test and governance approval are useful checks that operate on top of that, and comparative reliability is a quality argument rather than a permission.","D6 Governance, Risk & Responsible Use"
Staff are being enabled to use an approved tool. What must the enablement cover beyond how to use it?,multiple-choice,Who to contact when the tool does not perform as expected.,,Which tasks the organization has approved it for at this stage.,,"How the tool works, so that its behaviour can be anticipated correctly.",,"What must not be put into it, and what must not be relied on from it.",,,,,,4,The two failure modes enablement has to prevent are putting the wrong material in and trusting the wrong output. Everything else is convenience by comparison. Approved task lists and support routes are part of a complete programme and neither addresses the moment a person is about to paste something they should not.,"D6 Governance, Risk & Responsible Use"
A person is assessing an option and stands to benefit from one outcome. What does that require when the assessment is assisted?,multiple-choice,That the assessment rely only on material supplied by an independent party.,,That the assessment be reviewed by someone without an interest in the outcome.,,"Disclosure of the interest, since the assistance does not make the assessment neutral.",,That the assessment be produced without the person's involvement in the prompt.,,,,,,3,"Generated output carries an appearance of neutrality that a conflict of interest survives intact, since the prompt, the material and the acceptance of the result are all shaped by the interested party. Disclosure is the obligation that attaches to the interest. Independent review and sourcing are controls that may follow from it.","D6 Governance, Risk & Responsible Use"
An output will be read by people with a range of access needs. What does that require?,multiple-choice,"That the output be produced in several formats, so each reader can choose one.",,That the output's structure and format meet the applicable accessibility standards.,,"That the output be written in plain language, which is easier for everyone to read.",,That the output be reviewed by someone who shares the access needs in question.,,,,,,2,"Accessibility is a specification with standards behind it, covering headings, alternative text, contrast and structure, and generated output does not satisfy it by default. Producing to the standard is the requirement. Multiple formats, plain language and user review are all valuable and none of them is what compliance consists of.","D6 Governance, Risk & Responsible Use"
Several problems have been identified in a workflow at once. How should they be ordered?,multiple-choice,"By how frequently each occurs, taking the most common one first.",,"By how well each is understood, taking the clearest diagnosis first.",,"By the harm each does, taking the most consequential first.",,"By how quickly each of them can be resolved, taking the fastest first.",,,,,,3,"Consequence is what determines which problem is worth the next hour, and a rare failure that harms a customer outranks a frequent cosmetic one. Speed and clarity of diagnosis are tie-breakers within a severity band. Frequency matters as an input to harm rather than as the ordering principle itself.",D7 Troubleshooting & Optimization
A failure occurred once and cannot be reproduced. What is the appropriate response?,multiple-choice,"Make the change most likely to have prevented it, as a precaution.",,Continue attempting to reproduce it until the conditions are identified.,,"Treat it as resolved, since a failure that cannot be reproduced cannot be fixed.",,"Record what is known and watch for a recurrence, without changing anything yet.",,,,,,4,"Changing a working system on the basis of an unreproduced report risks introducing a problem to address one that may not recur. Recording the details is what makes the second occurrence diagnosable rather than another isolated event. Closing it discards that, and indefinite reproduction attempts have a poor return once the obvious conditions are exhausted.",D7 Troubleshooting & Optimization
Two candidate prompts are being compared. What makes the comparison sound?,multiple-choice,The same set of representative cases run through both.,,Cases drawn from the most recent period of live operation.,,A larger number of cases run through whichever appears stronger.,,Cases chosen to exercise the weakness each prompt is meant to fix.,,,,,,1,"A comparison requires the same input to both, and cases representative of the real distribution rather than selected to favour one. Testing the targeted weakness is a necessary part of the set and would on its own reward a prompt that fixes one case while degrading others. Recency helps the cases be representative rather than substituting for it.",D7 Troubleshooting & Optimization
