Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Response,Overall Explanation,Domain
An e-commerce retailer's marketing team uses research mode to synthesize findings across many sources with citations. What should still happen before the findings are used?,multi-choice,Ask Claude to rate its confidence instead of checking citations.,,Discard the citations because research mode cannot be trusted at all.,,"Spot-check the citations, since research mode still requires verification of what it cites.",,Nothing further — research mode's citations are automatically correct.,,,,,,3,"Research mode enables cited, multi-source synthesis, but you should still spot-check the citations — grounding reduces risk, it doesn't remove the need to verify.",D2 Output Evaluation & Validation
An output for a university's admissions office will inform a decision with legal and financial consequences and contains specific verifiable figures. What does this scenario require?,multi-choice,Deleting the draft and starting over from nothing.,,"A faster model to save time, since speed matters more than accuracy here.",,"Human review, because the output is high-stakes, involves specific verifiable claims, and will trigger a decision.",,"No review — low-stakes, reversible drafts never need review.",,,,,,3,"Human review is required when output is high-stakes (legal/medical/financial/compliance/public-facing), contains specific verifiable claims, or will trigger an action/decision.",D2 Output Evaluation & Validation
"A hospital's care-coordination team produced a substantial, six-page deliverable meant to be edited, kept, and shared. Where should this output be delivered?",multi-choice,"As an artifact, since it's a substantial, self-contained, reusable deliverable.",,As a one-line acknowledgment.,,As a casual clarifying question.,,As throwaway inline chat text.,,,,,,1,"Substantial, self-contained deliverables you'll edit, keep, or share belong in an artifact rather than inline chat text.",D2 Output Evaluation & Validation
"For a regional bank's lending team, which two techniques are reliable ways to validate a factual claim in Claude's output? (Choose two.)",multi-choice,Ask Claude how confident it is in the claim.,,Make the wording sound more authoritative.,,Check it against an authoritative primary source.,,"Cross-check it with an independent, reputable source.",,,,,,"3,4",Authoritative-source verification and independent cross-checking are reliable validation techniques; self-reported confidence and confident wording are not evidence of accuracy.,D2 Output Evaluation & Validation
A report for an e-commerce retailer's marketing team addresses only part of the original request and silently skips an edge case. Which evaluation dimension does this failure fall under?,multi-choice,Relevance/fit — is this the right scope and tone for the audience?,,Consistency — does it contradict itself or the source?,,"Completeness — did it address the whole request, with no silent omissions or unstated assumptions?",,Bias/fairness — are groups or viewpoints represented fairly?,,,,,,3,Completeness asks whether the output addressed the whole request without silent omissions or unstated assumptions.,D2 Output Evaluation & Validation
"An output for a university's admissions office states one figure in the summary and a different, contradictory figure later in the same document. Which evaluation dimension does this failure fall under?",multi-choice,"Accuracy — verifiable facts, numbers, names, and citations.",,"Relevance/fit — right scope, tone, and reading level for the audience?",,"Consistency — does it contradict itself, the source, or earlier statements?",,Completeness — did it address the whole request?,,,,,,3,"Contradicting itself (or the source, or earlier statements) is a consistency failure, distinct from accuracy, completeness, or fit.",D2 Output Evaluation & Validation
"A hospital's care-coordination team reviews an output that describes different customer groups using skewed, unfair language. Which evaluation dimension does this failure fall under?",multi-choice,Accuracy — are the facts and numbers verifiable?,,Completeness — did it address the whole request?,,"Bias/fairness — are groups, options, or viewpoints represented fairly?",,Consistency — does it contradict itself or the source?,,,,,,3,"Bias/fairness evaluates whether groups, options, or viewpoints are represented fairly — a distinct dimension from accuracy or completeness.",D2 Output Evaluation & Validation
"A regional bank's lending team must classify 50,000 support tickets by topic; simplicity and speed matter most, and quality requirements are low. Best choice:",multi-choice,Disable model features entirely to cut cost.,,"A faster, lower-cost model (Haiku) suited to high-volume, straightforward work.",,Move the entire workload to a different AI vendor.,,"Opus for every item, to maximize quality regardless of cost.",,,,,,2,"High-volume, simple, latency-sensitive work should prioritize speed and cost — Haiku is built for exactly this.",D3 Product & Model Selection
Which task at an e-commerce retailer's marketing team most justifies using the most capable (Opus) model?,multi-choice,"Tagging thousands of short items by category, at high volume.",,Nuanced analysis of an ambiguous advertising-compliance scenario that requires multi-step reasoning.,,Converting a simple list into a table.,,"Generating a standard, templated meeting-invite blurb.",,,,,,2,"Complex, nuanced, high-stakes analysis with multi-step reasoning is exactly what justifies the most capable model.",D3 Product & Model Selection
"A university's admissions office handles everyday drafting, summarizing, and routine analysis at moderate volume. Which model best balances speed, cost, and capability for this work?",multi-choice,"Haiku, because it is the cheapest option regardless of task fit.",,"Opus, because more capability is always better regardless of cost.",,"Sonnet, which balances speed, cost, and capability for everyday knowledge work.",,No model at all — disable the AI feature entirely.,,,,,,3,"Sonnet is built for balanced, everyday knowledge work — drafting, summarizing, and routine analysis — without paying the Opus cost/latency premium.",D3 Product & Model Selection
"A colleague at a hospital's care-coordination team argues Claude should always use the most capable model for every task, no matter how simple. What is the issue with this reasoning?",multi-choice,"The most capable model is always the cheapest, so there's no tradeoff.",,"""Always use the most capable model"" wastes cost and latency budget; the model should be matched to the task's hardest requirement instead.",,Model choice never affects cost or speed.,,There is no issue — always using the most capable model is correct.,,,,,,2,"Both ""always use the most capable model"" and ""always use the cheapest"" are wrong. The skill is matching the model to the task's hardest requirement.",D3 Product & Model Selection
A regional bank's lending team runs recurring work that always needs the same shared instructions plus three underwriting reference PDFs. Which product feature best fits this need?,multi-choice,"A Project, bundling persistent instructions, knowledge, and (optionally) connectors.",,An artifact with no reusable configuration.,,Research mode used from a blank context each time.,,"Chat, restarted fresh every time.",,,,,,1,"Recurring work with stable context, standards, or reference docs is exactly what a Project is for.",D3 Product & Model Selection
"An e-commerce retailer's marketing team needs a deep, sourced investigation across many websites and documents before making a recommendation. Which feature best fits?",multi-choice,"Memory, to recall preferences across sessions.",,An artifact containing no sources.,,"Research mode, which gathers and synthesizes across many sources with citations.",,A single quick chat reply with no sourcing.,,,,,,3,"Research mode is built for deep, multi-source investigation with traceable citations.",D3 Product & Model Selection
"A long chat at a university's admissions office covering a long thread planning a new advising workflow has grown very long, and Claude keeps forgetting earlier decisions. What is the best move?",multi-choice,Delete the conversation and abandon the task.,,Switch to a different model mid-thread without addressing the context issue.,,"Summarize the key decisions so far, then continue (or restart with that summary).",,Keep going and hope the model recovers the earlier context on its own.,,,,,,3,"When a long thread drifts or loses earlier facts, summarize and continue (or restart with a clean, focused context) — restart for a clean slate, summarize to carry a long thread forward, persist when info must survive across sessions.",D3 Product & Model Selection
Which use case represents a strong fit for Claude at a hospital's care-coordination team?,multi-choice,Final legal or financial decisions with no human review.,,Handling sensitive regulated data against policy.,,"Repetitive, high-volume text work such as drafting, summarizing, and reformatting.",,Deep API/agentic engineering best escalated to a developer.,,,,,,3,"Repetitive, high-volume text work is a textbook strong fit for Claude — the other options are weak/risky fits or should be escalated.",D4 Workflow Integration & Solution Design
Which use case is a weak or risky fit for Claude at a regional bank's lending team?,multi-choice,Synthesis across many documents for a first-pass research summary.,,Brainstorming and restructuring ideas to help a human expert.,,A task with a human checkpoint before anything ships.,,Final decisions with legal or safety consequences and no review step.,,,,,,4,"Final, unreviewed decisions with legal/financial/safety consequences are a weak/risky fit — they need a human checkpoint, which this option lacks.",D4 Workflow Integration & Solution Design
"An e-commerce retailer's marketing team wants Claude to help draft promotional emails, but a person still reviews and sends each one within the existing process. This best describes:",multi-choice,Removing all humans from the process.,,Augmenting — Claude assists inside the existing process while a person still owns the final step.,,Redesigning — rebuilding the whole process around Claude.,,Replacing the team's system of record.,,,,,,2,Augment = Claude assists inside the existing process (the person still sends it). Redesign restructures the process itself around what Claude makes possible.,D4 Workflow Integration & Solution Design
A university's admissions office is starting to integrate Claude into an existing process. What is the correct first step of a simple integration method?,multi-choice,"Map the current workflow — its steps, inputs, outputs, handoffs, and pain points.",,Immediately automate every step end-to-end with no analysis.,,Pick the most capable model before understanding the workflow.,,Skip straight to measuring results before any pilot exists.,,,,,,1,"The integration method starts by mapping the current workflow before deciding where AI fits, augmenting vs. redesigning, or piloting.",D4 Workflow Integration & Solution Design
"While redesigning a workflow at a hospital's care-coordination team, where should a human checkpoint be inserted?",multi-choice,Only when the task is simple and low-stakes.,,Wherever review or approval is required before the output is used or acted on.,,Nowhere — checkpoints slow the process down and should be removed.,,Only at the very end of the fiscal year.,,,,,,2,Human checkpoints belong wherever review/approval is required before output is used or acted on — a core step of the integration method.,D4 Workflow Integration & Solution Design
"When communicating Claude's value to the bank's branch operations manager at a regional bank's lending team, which point best conveys concrete value?",multi-choice,That the tool removes any need for human review going forward.,,"Time saved, consistency at scale, faster drafts, and better first passes.",,That it is a system of record for the business.,,That the tool is always factually correct and never needs checking.,,,,,,2,"Value should be framed concretely: time saved, consistency, scale, faster drafts, and freeing experts for judgment work.",D4 Workflow Integration & Solution Design
"When communicating Claude's limitations to the retailer's store operations director at an e-commerce retailer's marketing team, which statement is accurate and appropriate to share?",multi-choice,Claude never makes mistakes once configured correctly.,,Claude output can be treated as a system of record with no further checks.,,Claude removes the need for any professional or legal review.,,"Claude can hallucinate, needs verification for facts, and is not a substitute for professional sign-off.",,,,,,4,"Honest limitations include: can hallucinate, needs fact verification, is not a system of record, and doesn't replace professional/legal sign-off. Overselling is a governance and trust risk.",D4 Workflow Integration & Solution Design
"When communicating Claude's fit to stakeholders at a university's admissions office, you should convey which two of the following? (Choose two.)",multi-choice,That the tool removes any need for human review.,,That the tool is always factually correct.,,"Concrete value, such as time saved, consistency, and scale.",,"Limitations, such as the possibility of hallucination and the need for verification.",,,,,,"3,4",Stakeholder communication should honestly convey both concrete value and real limitations — never overselling correctness or removing the need for review.,D4 Workflow Integration & Solution Design
"The hospital's operations director at a hospital's care-coordination team asks, ""can we just automate patient-consent form approvals end-to-end?"" What is the best response?",multi-choice,No — Claude cannot help with this kind of work at all.,,Yes — automate the entire process end-to-end immediately.,,Escalate the entire request to a developer without further analysis.,,"Identify which specific steps Claude can accelerate (e.g., summarizing, flagging) while keeping human review/approval for the final decision.",,,,,,4,The balanced answer identifies which steps Claude handles well and where a human checkpoint stays — never a blanket yes or no.,D4 Workflow Integration & Solution Design
"After integrating Claude into a workflow at a regional bank's lending team, what is the correct final step of the integration method?",multi-choice,Declare success immediately without testing on real work.,,Skip measurement since newer always means better.,,"Avoid comparing to the previous baseline, since it's now irrelevant.",,"Pilot on real work, measure against the old baseline, and iterate.",,,,,,4,"The integration method ends with piloting on real work, measuring against the baseline, and iterating — confirming it's actually faster/better, not just newer.",D4 Workflow Integration & Solution Design
An e-commerce retailer's marketing team answers the same recurring questions daily using three merchandising reference PDFs. What is the best setup?,multi-choice,Create a Project with instructions plus the PDFs as persistent knowledge.,,Memorize the answers instead of using the reference material.,,Use the most powerful model available instead of organizing the material.,,Paste the PDFs into every new chat from scratch.,,,,,,1,A Project bundles persistent custom instructions and knowledge sources so the team doesn't re-explain context every chat.,D5 Configuration & Knowledge Management
A Project at a university's admissions office keeps returning last quarter's tuition-rate sheet instead of current figures. What is the root fix?,multi-choice,Replace the outdated document in the Project's knowledge with the current one.,,Switch to a different model.,,Start a brand-new Project every single time this happens.,,Re-prompt more forcefully every time the issue comes up.,,,,,,1,"Stale Project knowledge is a leading cause of wrong-but-confident output. The fix is to update/replace the outdated knowledge source, not re-prompt harder.",D5 Configuration & Knowledge Management
"A hospital's care-coordination team is setting up a Project and needs to decide where a durable, always-applicable rule about tone and format belongs versus a one-off request. Where should the standing rule go?",multi-choice,Buried inside a single one-off prompt.,,Nowhere — it should be re-typed into every new chat.,,"In the uploaded knowledge, since instructions and knowledge are interchangeable.",,"In the custom/system instructions, since instructions define how to behave every time.",,,,,,4,Instructions = how to behave every time (persistent rules); knowledge = what to ground on (reference facts); a prompt = the specific ask right now. Durable rules belong in instructions.,D5 Configuration & Knowledge Management
A regional bank's lending team is writing system-level instructions for a new Project. Which practice reflects good instruction-writing?,multi-choice,Burying one-off task details permanently inside the standing instructions.,,Leaving the instructions unchanged indefinitely regardless of how standards evolve.,,"Defining the role and audience, stating tone/format/length defaults, and listing explicit do's and don'ts.",,"Writing a vague instruction like ""be helpful"" with no further detail.",,,,,,3,"Good instructions define the role/audience, state tone/format/length defaults, and list explicit do's/don'ts, pointing to the knowledge sources of truth.",D5 Configuration & Knowledge Management
An e-commerce retailer's marketing team is deciding which connectors to enable for a new Project. What is the best practice regarding connectors and data sensitivity?,multi-choice,Let each team member decide access independently with no policy alignment.,,"Avoid connectors entirely, even when they're the appropriate approved source.",,"Connect only what's needed and permitted, minding data sensitivity.",,"Connect every available source by default, regardless of necessity.",,,,,,3,"Connectors should be connected only when needed and permitted, with data sensitivity considerations in mind — consistent with governance policy.",D5 Configuration & Knowledge Management
"Several months after setup, a Project at a university's admissions office has not had its instructions or knowledge reviewed. What risk does this create?",multi-choice,Reviewing configuration periodically is unnecessary busywork.,,No risk — configuration is set-and-forget once created.,,"The risk only applies to connectors, never to instructions or knowledge.",,Stale knowledge and outdated instructions become a leading cause of wrong-but-confident output.,,,,,,4,"Configuration is not set-and-forget: knowledge must stay current, instructions must be updated as standards change, and stale material must be pruned.",D5 Configuration & Knowledge Management
"A hospital's care-coordination team needs a specific one-off answer for today's unusual request, unrelated to standing team rules. Where does this one-off ask belong?",multi-choice,Uploaded as a new permanent knowledge document.,,Permanently added to the Project's system instructions.,,"Ignored, since one-off requests should never be made.",,"In the momentary prompt itself, not in the Project's permanent instructions or knowledge.",,,,,,4,"Instructions hold durable rules, knowledge holds durable facts, and the momentary, one-off ask belongs in the prompt itself.",D5 Configuration & Knowledge Management
"A regional bank's lending team wants Claude to analyze a spreadsheet of customer records containing names and account numbers, but policy restricts sharing this regulated personal data. Best action:",multi-choice,"Anonymize/remove the identifiers first, consistent with policy, then proceed with the analysis.",,Upload the spreadsheet as-is since the use is only internal.,,Skip the analysis entirely.,,Upload it but instruct Claude not to retain the data.,,,,,,1,"Remove or anonymize regulated identifiers before use, consistent with policy — this lets the work proceed safely without exposing protected data.","D6 Governance, Risk & Responsible Use"
"At an e-commerce retailer's marketing team, someone argues it's fine to upload regulated data as-is because the use is ""only internal."" Why does this reasoning fail?",multi-choice,"It fails only for financial data, never for other regulated categories.",,Internal use doesn't waive data-protection controls; the policy still applies.,,It doesn't fail — internal use is always exempt from data-protection policy.,,It fails only if the file is shared outside the company.,,,,,,2,"""It's only internal"" is a classic wrong-but-tempting answer: internal use doesn't waive data-protection controls that a policy requires.","D6 Governance, Risk & Responsible Use"
"At a university's admissions office, someone suggests uploading regulated data as-is but instructing Claude ""not to retain it."" Why is this insufficient?",multi-choice,An instruction to the model is not a policy control and doesn't satisfy governance requirements.,,"It is sufficient only for financial data, never healthcare data.",,It is sufficient as long as the instruction is worded firmly.,,This is actually a fully sufficient safeguard on its own.,,,,,,1,"Telling the model not to retain data is an instruction to the model, not a policy control — it doesn't satisfy governance or compliance requirements.","D6 Governance, Risk & Responsible Use"
Which of the following is an inappropriate use of Claude at a hospital's care-coordination team?,multi-choice,Drafting a routine appointment-reminder email that a person will edit and review.,,Brainstorming campaign or program ideas.,,Summarizing a public report for internal awareness.,,Making a final hiring or termination decision from résumés with no human review.,,,,,,4,"Unreviewed high-stakes decisions (like final hiring/termination calls) are an inappropriate use case; drafting, summarizing, and brainstorming with human review are appropriate.","D6 Governance, Risk & Responsible Use"
"At a regional bank's lending team, following a use of Claude would be faster if a team member ignored the organization's AI data-handling policy for this one task. What should they do?",multi-choice,"Follow the policy — it governs, and the team member should consult the policy owner if it's unclear.",,Do whatever gets the task done fastest.,,Ask Claude whether the policy applies instead of consulting the policy owner.,,"Ignore the policy just this once, since it's a single, isolated task.",,,,,,1,"Organizational policy is the governing authority. When in doubt, follow it and consult the owner — policy outranks convenience or speed.","D6 Governance, Risk & Responsible Use"
A team member at an e-commerce retailer's marketing team passes off an unverified Claude output as a confirmed fact to the VP of Marketing. Which ethical principle does this violate?,multi-choice,Privacy and consent — this is unrelated to personal data use.,,None — presenting unverified claims as fact is acceptable if the output sounds confident.,,Fairness and bias — this is unrelated to how groups are represented.,,Accuracy and honesty — unverified output should not be presented as confirmed fact.,,,,,,4,"Accuracy and honesty require not passing off unverified AI output as confirmed fact, and disclosing AI use where expected.","D6 Governance, Risk & Responsible Use"
An output for a university's admissions office systematically describes certain groups of people less favorably than others with no factual basis. Which ethical principle does this concern?,multi-choice,Transparency and accountability — about who owns the decision.,,Privacy and consent — about personal data use.,,"Fairness and bias — watch for skewed or discriminatory output, especially about people.",,None of these — tone differences are never a concern.,,,,,,3,"Fairness and bias covers skewed or discriminatory output, especially when it concerns groups of people.","D6 Governance, Risk & Responsible Use"
"After Claude drafts a recommendation for a hospital's care-coordination team, who is ultimately accountable for the decision that follows?",multi-choice,"Claude itself, since it produced the recommendation.",,"A person — transparency and accountability mean a human owns the decision, not the model.",,"Whoever is fastest to act on the recommendation, regardless of role.",,No one needs to own the decision once Claude has produced it.,,,,,,2,Transparency and accountability require that a person owns the decision — the model never bears accountability for outcomes.,"D6 Governance, Risk & Responsible Use"
Which pair correctly matches an appropriate and an inappropriate use of Claude at a regional bank's lending team?,multi-choice,Appropriate: evading governance controls. Inappropriate: working on de-identified data.,,Appropriate: feeding regulated data against policy. Inappropriate: drafting with human review.,,Appropriate: presenting AI output as verified fact. Inappropriate: brainstorming ideas.,,Appropriate: productivity/drafting with human review. Inappropriate: feeding regulated data against policy.,,,,,,4,"Appropriate uses include productivity/drafting/analysis with human review; inappropriate uses include feeding regulated data against policy, unreviewed high-stakes decisions, and evading controls.","D6 Governance, Risk & Responsible Use"
An output for an e-commerce retailer's marketing team comes back generic and off-target. What is the most likely cause and fix?,multi-choice,The context window is overloaded; the only fix is restarting from zero.,,The model is fundamentally incapable of this kind of task.,,The knowledge source is stale; replace the reference document.,,"The prompt was too vague or missing context/audience; add specificity, audience, format, and examples.",,,,,,4,"Generic/off-target output most often traces to a vague prompt missing context or audience — the fix is adding specificity, not other changes.",D7 Troubleshooting & Optimization
"During a long thread planning a new advising workflow, Claude keeps forgetting earlier points and the output visibly drifts. What is the likely cause and fix?",multi-choice,The knowledge source is outdated and needs replacing.,,The model needs to be switched to a cheaper tier.,,"The context window is overloaded; summarize the key points or restart, persisting the stable facts.",,The prompt was too vague; add more adjectives to the wording.,,,,,,3,"Drifting or forgetting earlier points points to an overloaded context window; the fix is to summarize or restart, persisting stable facts.",D7 Troubleshooting & Optimization
An output for a hospital's care-coordination team includes wrong facts and fabricated details that sound plausible. What is the likely cause and fix?,multi-choice,"Hallucination from an ungrounded task; provide the source material and verify, adding grounding.",,The task was decomposed into too many small steps.,,The model is simply too slow for this kind of task.,,The output format chosen was inline chat instead of an artifact.,,,,,,1,"Wrong facts or fabricated details point to hallucination from lack of grounding; the fix is to provide the source, verify, and add grounding.",D7 Troubleshooting & Optimization
A Project at a regional bank's lending team keeps giving outdated answers about last quarter's interest-rate sheet. What is the likely cause and fix?,multi-choice,The model tier is too powerful for the task.,,The context window has drifted mid-conversation.,,Stale Project knowledge or instructions; update the knowledge source.,,The prompt lacks decomposition into ordered steps.,,,,,,3,"Outdated answers usually trace to stale Project knowledge/instructions — the fix is updating the knowledge source, not re-prompting harder.",D7 Troubleshooting & Optimization
"An e-commerce retailer's marketing team finds that using Claude at scale for 120,000 product reviews by topic has become too slow and too costly. What is the likely cause and fix?",multi-choice,The prompt is too specific and needs to be made vaguer.,,The knowledge source is stale and needs replacing.,,An over-powered model for the task; right-size the model and simplify the workflow.,,The task needs to be handed off to a completely different vendor.,,,,,,3,"Slow, costly performance at scale usually traces to an over-powered model for the task; right-sizing the model controls cost/latency without losing needed quality.",D7 Troubleshooting & Optimization
A university's admissions office is optimizing a Claude-assisted workflow and wants to know what actually improved results. What is the correct approach?,multi-choice,Skip comparison to the baseline since newer always means better.,,Change every variable at once to save time on multiple test rounds.,,"Change one variable at a time — form a hypothesis, change it, and compare against the baseline.",,Avoid forming any hypothesis and simply try random adjustments.,,,,,,3,Optimize like a scientist: change one variable at a time and compare — changing everything at once hides what actually helped.,D7 Troubleshooting & Optimization
