Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
A claim in an output matters enough to be checked independently. What does that mean in practice?,multiple-choice,"Confirm it against the supplied material a second time, by a different reader.",,Confirm it by running the same prompt again and checking the claim reappears.,,Confirm it against a source that was not supplied in the prompt.,,Confirm it by asking Claude to state the basis on which the claim was made.,,,,,,3,"Independence means a source outside the chain that produced the output. Rechecking the same material catches transcription errors but not an error already present in it, rerunning the prompt tests reproducibility rather than truth, and asking for the basis produces more generated text from the same process.",D2 Output Evaluation & Validation
A reviewer believes an output is wrong and cannot immediately show why. What should happen?,multiple-choice,Hold the output and identify the specific claim in question before it is used.,,"Ask Claude to explain the reasoning, and accept the output if the explanation holds.",,"Accept it, since the reviewer has not been able to identify a demonstrable error.",,"Reject it and regenerate, since a reviewer's doubt is sufficient grounds for a rerun.",,,,,,1,"Reviewer unease is usually pattern recognition arriving before the articulation, and dismissing it wastes the most valuable signal in the process. Holding the output costs little and converting the doubt into a specific checkable claim is what resolves it. Regenerating without diagnosis discards the information, and a generated explanation is not evidence.",D2 Output Evaluation & Validation
An output covers a technical area no available reviewer understands. What follows?,multiple-choice,It should be accepted with a caveat recording that specialist review was not possible.,,"It cannot be validated internally, so either expertise is obtained or it is not relied on.",,It should be cross-checked against published material on the same technical subject.,,"It should be checked for internal consistency, which is the best available approximation.",,,,,,2,"Where nobody can tell whether the output is right, the honest position is that verification has not occurred, and the decision is whether to obtain expertise or to forgo the use. Consistency checks and caveats create an appearance of diligence without the substance, and non-expert cross-checking against literature is unreliable in exactly the way that matters.",D2 Output Evaluation & Validation
One long output must be spot-checked rather than read line by line. What is the sound selection?,multiple-choice,"The claims that would matter most if wrong, plus a random sample of the rest.",,"The sections that took longest to produce, since these are the most complex parts.",,"The opening and closing sections, where the most consequential material typically sits.",,"The passages containing numbers, since these are where errors are most easily detected.",,,,,,1,"Risk-weighted selection covers what matters, and a random component prevents the check from missing anything systematic in what was assumed safe. Position, difficulty and the presence of numbers are all proxies that a well-placed error will sit outside. Numbers are worth checking and are not the only thing that can be wrong.",D2 Output Evaluation & Validation
An output is being reviewed for a recommendation. What must be checked beyond its facts?,multiple-choice,Whether the recommendation is stated with sufficient clarity for a decision-maker.,,Whether the recommendation is consistent with previous positions the team has taken.,,Whether the recommendation is one the organization is in a position to act on.,,Whether the recommendation actually follows from the facts as presented.,,,,,,4,"Correct facts assembled into an unsupported conclusion is a distinct failure, and it is the one that persuades: every individual statement checks out. Testing the inferential step is a separate act from verifying the inputs. Feasibility, clarity and consistency all matter to whether the recommendation is useful rather than to whether it is warranted.",D2 Output Evaluation & Validation
Caveats present in an earlier draft are absent from the edited version. What does that require?,multiple-choice,"Restoring all of the caveats, since their removal weakens the accuracy of the output.",,"Accepting the change, since a later draft reflects a more considered final judgment.",,Checking that each caveat was removed deliberately rather than lost in editing.,,"Marking the output as requiring review, since the change alters what it is asserting.",,,,,,3,"Qualifications are the first thing to disappear when text is tightened, and their loss converts a hedged finding into an unqualified assertion. The check is whether each removal was a decision. Restoring them all ignores that some may have been rightly cut, and treating a later draft as authoritative assumes exactly what needs testing.",D2 Output Evaluation & Validation
An output has the wrong structure but correct content. How should that be categorized and handled?,multiple-choice,"A quality failure, which requires the output to be produced again from the prompt.",,"A relevance failure, since the output does not deliver what the requester asked for.",,"A completeness failure, since the required structure was part of what was requested.",,"A format failure, which is corrected without re-examining the substance.",,,,,,4,"Separating format from content keeps the response proportionate: a wrongly structured but accurate output needs reformatting, not regeneration and revalidation. Conflating the two categories leads teams to rerun work whose substance was already verified, which costs time and reintroduces the risk of a new content error.",D2 Output Evaluation & Validation
An output will be used as the input to a further generated step. What does that change about review?,multiple-choice,"Review should focus on format, since the next step depends on the structure it receives.",,"Errors will propagate and become harder to attribute, so it is checked before it is passed on.",,"Review can be deferred, since the final output is what will actually be relied upon.",,"Review is unnecessary, since any error will be visible in the output of the final step.",,,,,,2,"An error passed into a subsequent step is elaborated on rather than corrected, and by the end it is embedded in material that no longer resembles its source. Checking at the boundary is what keeps attribution possible. Deferring review to the end makes diagnosis substantially harder and the correction more expensive.",D2 Output Evaluation & Validation
Every fact in an output is correct and a reader would still be misled. What has failed?,multiple-choice,"The accuracy, since a misleading output cannot be described as factually correct.",,"The selection and emphasis, which shape the impression the accurate facts create.",,"The tone, since the impression created is a function of how the material is expressed.",,"The completeness, since something material must have been omitted from the account.",,,,,,2,"Truthful components can compose into a false impression through what is foregrounded, what is buried and what is technically present but unemphasized. This is a distinct dimension from accuracy and it is the hardest to catch by checking claims. Omission and tone contribute, and the general failure is one of framing.",D2 Output Evaluation & Validation
A team wants a quick signal on whether an output is grounded before committing to full review. What is the fastest useful check?,multiple-choice,Compare the output's length against the volume of material that was supplied to it.,,Ask whether the output contains anything the supplied material would not support.,,Read the output for anything that appears inconsistent with the rest of the document.,,Pick two specific claims and trace each one back to the supplied material.,,,,,,4,"Tracing a small number of specific claims is cheap and highly diagnostic: material invented in one place is rarely invented in only one place. Reading for internal inconsistency tests the wrong property, self-assessment routes through the same process that produced the output, and length carries no information about grounding.",D2 Output Evaluation & Validation
A dated output is being reused six months later. What is the specific risk beyond ordinary error?,multiple-choice,The prompt that produced it may since have been altered or replaced.,,The reviewer who validated it may no longer be available to explain it.,,Facts that were correct when produced may no longer hold now.,,The output may not match the format currently expected by its readers.,,,,,,3,"Validation establishes correctness at a point in time and carries no forward guarantee. Rates, policies, personnel and prices all move, and a verified output silently becomes a wrong one. Re-establishing currency is a separate step from the original review. Format, availability and prompt drift affect reuse without making the content untrue.",D2 Output Evaluation & Validation
A conversation has become long enough that earlier detail is no longer being reflected accurately. What is the correct move?,multiple-choice,Summarize what matters and carry it into a fresh conversation.,,Scroll back and quote the earlier passages each time they need to be referred to.,,Continue and restate the important details whenever they become relevant again.,,"Switch to a more capable model, which will handle the accumulated length better.",,,,,,1,"A conversation that has outgrown reliable recall is carried forward by extracting what still matters and starting clean, which resets the accumulated noise while preserving the substance. Restating and quoting add to the length that caused the problem, and a larger model postpones it rather than resolving it.",D3 Product & Model Selection
A team runs two unrelated ongoing workstreams with different reference material. What is the appropriate structure?,multiple-choice,"One Project for the shared instructions, with the material supplied per conversation.",,"A separate Project per person, each configured for whichever workstream they handle.",,"A separate Project for each, so neither one's material influences the other.",,"One Project holding both sets of material, with instructions covering each of them.",,,,,,3,"Projects are scoped containers, and mixing unrelated knowledge means each workstream's conversations carry material that can only mislead. Separating them keeps each configuration focused and independently maintainable. Splitting by person instead of by workstream fragments the shared configuration for no benefit.",D3 Product & Model Selection
A task needs current external information that the team does not hold. When is research mode the wrong choice?,multiple-choice,"When the output must cite its sources, which research mode does not guarantee.",,When the team already knows which specific sources are authoritative here.,,When the information required is recent enough that it may not be indexed yet.,,When the task is straightforward and does not require a capable model to complete.,,,,,,2,"Research is for finding material you cannot specify in advance. Where the authoritative sources are known, supplying them directly is faster, cheaper and removes the risk of the answer resting on something less reliable that happened to be found. The choice is about whether discovery is needed, not about model tier.",D3 Product & Model Selection
A team must choose between two model tiers for an ongoing task. What is the sound basis for the decision?,multiple-choice,Run a representative set of real cases through both and compare the results.,,"Choose the more capable tier initially, then reduce it if the cost proves excessive.",,"Choose the cheaper tier initially, then escalate whenever an output is unsatisfactory.",,Choose based on the published characteristics of each tier for this kind of work.,,,,,,1,"Tier selection is an empirical question about this task and this material, and a small comparison on real cases answers it directly. Starting high and cutting back rarely happens once the work is running, starting low and escalating case by case produces inconsistent output, and published characteristics do not predict performance on a specific workload.",D3 Product & Model Selection
A task depends on information about events from the past few weeks. What does the model's knowledge cutoff imply?,multiple-choice,"That the recent information has to be supplied or retrieved, since it will not be known.",,"That the task is unsuitable, since anything depending on current events cannot be handled reliably.",,"That a more capable model tier should be used, since these are trained on more recent material overall.",,"That the answer should be treated as provisional, since recent developments may not be reflected in it.",,,,,,1,"Training data has an end date, and nothing after it is known however capable the model is. The work is therefore to bring the current material into the conversation, whether by supplying it or by retrieving it. Treating the answer as merely provisional leaves a confident but uninformed response in play, and tier does not extend the cutoff.",D3 Product & Model Selection
A document must be revised repeatedly with the team reviewing each version. Which feature fits?,multiple-choice,"A connector to the document store, so that revisions are written back automatically.",,"A Project, which retains the document alongside the instructions that govern it.",,"A fresh conversation per revision, so that each version is produced independently.",,"An artifact, which keeps the document in one place across successive revisions.",,,,,,4,"Artifacts exist for content that is iterated on rather than read once, keeping the working document separate from the conversation around it. A Project addresses persistence across conversations, which is a different need, and generating each revision independently discards the continuity that iterative editing depends on.",D3 Product & Model Selection
A colleague proposes routing every task through the most capable model to avoid having to decide. What is the strongest objection?,multiple-choice,It produces output that is longer and more detailed than most tasks require.,,"It makes the workflow slower, since the more capable tier takes longer to respond.",,It removes the opportunity to learn which tasks genuinely need the capability.,,It pays a premium on the majority of tasks that gain nothing from it.,,,,,,4,"The policy's cost is concentrated in the high-volume, low-complexity work where the tiers produce indistinguishable results, and at scale that difference is the entire economics of the workload. Latency and verbosity are real and secondary, and the learning argument is about process rather than about what the policy costs.",D3 Product & Model Selection
A change to a live workflow has degraded quality and the cause is not yet understood. What should happen?,multiple-choice,Add a review step to catch the degraded outputs while the investigation proceeds.,,"Revert to the previous configuration, then investigate away from the live process.",,"Investigate immediately, since reverting will remove the evidence needed to diagnose it.",,"Roll the change back for some users, so that a comparison can be made between them.",,,,,,2,"Live degradation is producing bad output now, and reverting stops that without preventing diagnosis, since the configuration and examples are all retained. Investigating in place trades other people's work for convenience, and adding review shifts the cost onto reviewers while leaving the fault running.",D4 Workflow Integration & Solution Design
"Output quality has fallen and the prompt, model and instructions are all unchanged. What should be examined?",multiple-choice,"The reviewers, whose standards may have shifted over the period in question.",,"The model, which may behave differently despite the configuration being the same.",,"The volume being processed, which may have risen beyond what the design assumed.",,"The material coming in, which may have changed in format or quality upstream.",,,,,,4,"When everything under the team's control is constant, the variable is what arrives: a changed export format, a new field, a supplier switching template. Upstream dependency is the part of an integration teams most often fail to monitor. Volume and reviewer drift are worth checking and neither would degrade the output itself.",D4 Workflow Integration & Solution Design
"Who must be involved in designing an integration, beyond the team building it?",multiple-choice,The team that owns the systems the process depends on for its inputs.,,"The manager accountable for the process, who can authorize the change to it.",,"The people who do the work today, who know where it actually breaks.",,"The group that will receive the output, who can describe what they require.",,,,,,3,"The practitioners hold the undocumented judgment and the exceptions, which is exactly what a design derived from the written process will omit. Their absence is the most common reason an integration works in testing and fails in use. Managers, upstream owners and recipients all have necessary input of a different kind.",D4 Workflow Integration & Solution Design
A process has a two-day turnaround commitment. What must the integration design establish about that?,multiple-choice,"That the commitment can be shortened, since that is the benefit being sought.",,That the assisted step is faster than the manual step it is intended to replace.,,That the commitment still holds when the assisted step fails and the fallback runs.,,That the review step fits inside the time the assisted step has saved overall.,,,,,,3,A commitment is only met if it survives the bad day. A design tested against the normal path leaves the organization exposed the first time the assisted step is unavailable or produces something unusable. Speed gains and shortened commitments are benefits that depend on the fallback case having been worked out.,D4 Workflow Integration & Solution Design
An existing quality assurance process already samples this work. How should the integration relate to it?,multiple-choice,"Replace it, since the integration introduces its own review step at the same point.",,"Suspend it during the pilot, so the assisted output is evaluated on its own terms.",,"Keep it, and use its findings as the measurement of whether quality has changed.",,"Increase its sampling rate permanently, since generated output carries more risk.",,,,,,3,"An established assurance process is a ready-made, consistently applied measurement across the before and after, which is precisely what a change of this kind needs and what teams usually lack. Removing or suspending it destroys the comparison. Raising the rate during the pilot is reasonable; making it permanent presumes a result not yet in evidence.",D4 Workflow Integration & Solution Design
Some cases arriving at an assisted step fall outside what it was designed to handle. What must the design specify?,multiple-choice,How the design might later be extended to bring those cases within its intended scope.,,How those cases are detected and where they are routed to instead.,,"How frequently those cases arrive, so the impact on throughput can be estimated in advance.",,"How the assisted step should handle them, so that every arriving case receives some response.",,,,,,2,"An exception path that is not designed is an exception path that runs anyway, usually by the assisted step producing a confident answer to a case it was never evaluated on. Detection and routing are what keep out-of-scope work out. Frequency informs staffing, and extending scope later is a separate decision that does not cover the interim.",D4 Workflow Integration & Solution Design
An integration scoped to one step is being extended during the pilot to cover adjacent steps. What is the concern?,multiple-choice,The additional steps have not been through the same design process as the first.,,The pilot can no longer answer the question it was set up to answer.,,The team's capacity will be spread across more work than was budgeted for.,,The pilot will take longer than planned and delay the decision on rollout.,,,,,,2,"A pilot is an experiment with a defined question, and enlarging it mid-flight means the result cannot be attributed to anything in particular. Whatever comes out, nobody can say what worked. Unreviewed design, schedule and capacity are real costs that follow from the same loss of discipline.",D4 Workflow Integration & Solution Design
"A pilot succeeded in one team, and the same process runs slightly differently in the other four. What does rollout require?",multiple-choice,"Confirming the design still holds where the process differs, rather than assuming it does.",,"Rolling out to the team whose process most closely resembles the pilot, and pausing there.",,"Standardizing the process across the five teams first, then rolling the design out to all of them.",,"Rolling out to all four simultaneously, so that the teams converge on one way of working.",,,,,,1,"Local variation is where a validated design quietly stops being valid: a different input format, an extra approval, an exception handled another way. Checking the differences against the design is the work rollout actually consists of. Standardizing first is a much larger change that the pilot did not establish a case for.",D4 Workflow Integration & Solution Design
A sponsor asks for the integration to be extended to a process with no verification route. What is the sound response?,multiple-choice,Extend it to the portion of the process where outputs can in fact be verified.,,Extend it and add a monitoring step so that problems are noticed after the fact.,,"Name the absence of a check as the blocker, and what would have to exist first.",,"Decline, since a process whose output cannot be verified is not a candidate at all.",,,,,,3,"The useful answer identifies the missing condition rather than simply refusing or proceeding: what would make this verifiable, and is that worth building. Extending the verifiable portion may well be the outcome, and it is a conclusion to reach with the sponsor rather than a substitution made on their behalf.",D4 Workflow Integration & Solution Design
A workflow has run successfully for six months. What should trigger a re-examination of it?,multiple-choice,"The passage of a fixed interval, so that review happens on a predictable schedule.",,A change in the team responsible for operating it from day to day.,,"A complaint from someone receiving its output, indicating that quality has slipped.",,"A change in the inputs, the rules it applies, or the volume it handles.",,,,,,4,"Re-validation is triggered by the things that invalidate the original evaluation: different material arriving, different rules applying, or a volume the design was never tested at. A calendar review is a useful backstop that catches these late, and complaints and staffing changes are signals of lower specificity.",D4 Workflow Integration & Solution Design
A Project's instructions run to two pages of accumulated guidance. What is the likely consequence?,multiple-choice,Instructions compete with one another and the later ones are applied inconsistently.,,The instructions consume enough context to reduce the space available for material.,,New team members find the Project difficult to understand and use correctly.,,The instructions become expensive to maintain as the underlying process changes.,,,,,,1,"Instruction sets accumulate by addition and rarely by revision, so they end up containing overlapping and occasionally contradictory guidance with nothing establishing priority. The result is behaviour that varies without apparent cause. Context cost, comprehensibility and maintenance are all consequences of the same growth.",D5 Configuration & Knowledge Management
"Two instructions in a Project conflict, and one is more specific than the other. What should be done?",multiple-choice,"Remove the more general of the two, since the specific instruction covers the case.",,"Place the specific instruction after the general one, so it is read as the exception.",,"Leave them, since the more specific instruction will naturally take precedence.",,"Rewrite them so the relationship is stated, rather than leaving it to be inferred.",,,,,,4,"Nothing guarantees that a specific instruction overrides a general one, and ordering is not a reliable way to express precedence. Stating the relationship explicitly is what removes the ambiguity. Deleting the general instruction discards guidance that applies to every case the specific one does not cover.",D5 Configuration & Knowledge Management
A single knowledge document runs to several hundred pages. What is the practical concern?,multiple-choice,"The document takes a long time to process, which slows every conversation using it.",,"The document cannot be uploaded, since it exceeds the size a Project will accept.",,"The document will be summarized rather than read, losing the detail it contains.",,Relevant passages compete with a large volume of material that does not apply.,,,,,,4,Signal-to-noise governs how well knowledge works: a focused extract of what actually bears on the task outperforms a comprehensive volume in which the relevant page is one of hundreds. Curating down is the practice the guidance recommends. Size limits and processing time are secondary and often not binding.,D5 Configuration & Knowledge Management
A Project's scope has broadened until its instructions describe three distinct kinds of work. What follows?,multiple-choice,"Keep it, since one container is simpler for the team to find and to maintain.",,"Reorganize the instructions by section, so each kind of work has its own part.",,"Split it, since each kind of work needs instructions that do not qualify the others.",,Add a rule requiring the requester to state which kind of work they are asking for.,,,,,,3,"Instructions written to cover three kinds of work necessarily hedge every rule so that it does not misfire on the other two, which weakens all of them. Separate Projects let each set be direct. Sectioning and self-declaration are workarounds that keep the irrelevant guidance in context for every request.",D5 Configuration & Knowledge Management
Someone asks a Project a question its knowledge does not address. What should the instructions have specified?,multiple-choice,That Claude suggest which document would need to be added to cover it.,,That Claude say so rather than answering from general knowledge.,,That Claude answer from general knowledge and mark the answer accordingly.,,That Claude decline all questions outside the scope the Project was built for.,,,,,,2,"The specific risk of a well-configured Project is that an ungrounded answer arrives with the same authority as a grounded one, because the user trusts the container. An instruction to state plainly when the material does not cover a question preserves that distinction. Blanket refusal is unnecessarily restrictive for adjacent questions.",D5 Configuration & Knowledge Management
Which item belongs in a Project's instructions rather than in its knowledge?,multiple-choice,The policy document that the outputs are required to be consistent with.,,A rule that every output must state the policy section it relies on.,,The glossary defining the terms the team uses in this area of work.,,The set of approved templates that outputs are expected to conform to.,,,,,,2,"Instructions govern behaviour; knowledge supplies material. A requirement about what every output must do is behavioural and belongs in the instructions. Policies, templates and glossaries are all reference material that the instructions point at, and putting them in the instructions crowds out the rules with content.",D5 Configuration & Knowledge Management
What is the clearest signal that a Project's configuration has drifted out of date?,multiple-choice,The Project not having been reviewed within the period the team agreed.,,New team members asking questions the instructions do not appear to answer.,,The volume of conversations in the Project declining over recent weeks.,,Users routinely correcting the same thing in its outputs by hand.,,,,,,4,"Repeated manual correction of the same point is a direct measurement that the configuration no longer matches what the work requires, and it is visible in the outputs themselves. An overdue review is a proxy that may or may not indicate drift, declining use has many causes, and newcomer questions often reflect onboarding rather than staleness.",D5 Configuration & Knowledge Management
A team wants to use Claude on data that must remain within a specific jurisdiction. What governs whether that is permissible?,multiple-choice,"Where the processing actually takes place, judged against the applicable requirement.",,Whether the data is encrypted while it is in transit to and from the service.,,Whether the individuals concerned consented to the data being processed.,,Whether the data is retained after the processing has been completed.,,,,,,1,"A data residency requirement is about location of processing, and it is not satisfied by encryption, deletion or consent, each of which addresses a different risk. Establishing where the work happens is the question that determines compliance, and it has to be answered before the material is sent rather than afterwards.","D6 Governance, Risk & Responsible Use"
Who owns a document that Claude drafted and an employee edited and published?,multiple-choice,"The organization, since the employee produced it in the course of their employment.",,"The employee, since their editing is what gave the document its final form.",,"This is governed by the applicable terms and law, which the organization must establish.",,"Nobody, since generated content cannot be the subject of ownership at all.",,,,,,3,"Ownership of assisted work depends on service terms and on a body of law that varies by jurisdiction and is still developing, particularly around how much human authorship is required. The responsible position is to establish the answer for the organization's circumstances rather than to assume any of the confident readings.","D6 Governance, Risk & Responsible Use"
A prompt is being written that includes a system credential so Claude can describe an integration. What is the problem?,multiple-choice,The description could be produced without the credential being included at all.,,The prompt would need to be updated each time the credential is changed.,,"The credential may appear in the output, where it would be visible to other readers.",,"The credential should never be placed in a prompt, and this one now needs rotating.",,,,,,4,"A secret in a prompt has been disclosed, and the response is to treat it as compromised and rotate it. Describing an integration never requires a live credential. The other observations are true and none of them captures that an exposure has already occurred by the time the question is being asked.","D6 Governance, Risk & Responsible Use"
An organization wants to be able to move away from a particular AI service in future. What most affects its ability to do so?,multiple-choice,How much of the working knowledge sits in prompts and configuration it controls.,,Whether the contract permits termination without a lengthy notice period.,,Whether the outputs produced so far have been retained in an accessible form.,,How many people in the organization have been trained on the current service.,,,,,,1,"The transferable asset is the accumulated understanding of the work: the prompts, the criteria, the documented decisions about what good output looks like. Where that is written down and owned, moving is an engineering task. Retained outputs, training and contract terms all matter and none of them is the thing that would have to be rebuilt.","D6 Governance, Risk & Responsible Use"
A summary produced for one purpose is about to be used to support a decision about an individual. What does that change?,multiple-choice,The output must be disclosed to the individual before the decision is taken.,,"The output must be regenerated, since it was produced for a different purpose.",,The output now requires the scrutiny appropriate to a consequential decision.,,The output requires the individual's consent before it can be used in this way.,,,,,,3,"Repurposing raises the stakes without anyone revisiting the checks: material verified as adequate for a summary is now carrying a decision about a person. The controls have to match the new use, which may well include disclosure and a route to challenge. Regeneration is not required if the content is verified against the higher standard.","D6 Governance, Risk & Responsible Use"
A team wants Claude to draft messages that will be sent under a named executive's signature. What must be established?,multiple-choice,That a record is kept showing which of the messages were drafted rather than personally written.,,"That the drafting is consistent with the executive's usual style, so recipients notice no difference.",,That the messages are marked in some way as having been produced with assistance from a tool.,,That the executive reads and adopts each message as their own statement before it is sent.,,,,,,4,"A signature is an attribution: the recipient is told these are that person's words and commitments. That only holds if the person has actually read and adopted each one. Style matching makes an unadopted message more convincing rather than more legitimate, and records and markings are governance practices that do not substitute for the adoption itself.","D6 Governance, Risk & Responsible Use"
An output reflects a pattern present in the historical data it was given. What kind of problem is this?,multiple-choice,"A fairness problem, which is not resolved by making the output more accurate.",,"A completeness problem, since the historical data omitted relevant material.",,"An accuracy problem, since the output does not reflect the current situation.",,"A relevance problem, since the historical pattern does not apply to this case.",,,,,,1,"Faithfully reproducing a biased history is a fairness failure precisely because the output is accurate with respect to its input. Improving accuracy makes the reproduction more exact. The remedy lies in what material is used and what the process is permitted to determine, which is a design and governance question.","D6 Governance, Risk & Responsible Use"
How long should the record of a Claude-assisted decision be retained?,multiple-choice,"As long as the decision has to remain defensible, which the domain determines.",,"As long as the workflow that produced it remains in use, after which the record has no application.",,"As long as the organization retains its other operational records, for consistency of practice.",,"As long as the data protection rules permit, since the record contains material about individuals.",,,,,,1,"The retention period follows from how long the organization may be called on to explain the decision, which regulation, limitation periods and contractual terms set for each domain. Aligning to general practice or to the workflow's lifetime both risk destroying the record while it is still needed, and protection rules bound retention from the other direction.","D6 Governance, Risk & Responsible Use"
A vendor's terms prohibit their material being processed by third-party services. What follows for a team wanting to summarize it?,multiple-choice,The material may be processed if it is first stripped of the vendor's identifying details.,,The prohibition applies to storage rather than to transient processing of the material.,,The material may be processed provided the summary is used only within the organization.,,The prohibition binds regardless of how useful or well-controlled the processing is.,,,,,,4,"A contractual restriction is a constraint on what the organization may do, and utility, internal use and de-identification do not create permission. Reading the prohibition narrowly to reach a preferred answer is the failure mode. The available routes are to obtain agreement from the vendor or to not proceed.","D6 Governance, Risk & Responsible Use"
