Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Response,Overall Explanation,Domain
"While redesigning a workflow at a university's admissions office, where should a human checkpoint be inserted?",multi-choice,Only at the very end of the fiscal year.,,Wherever review or approval is required before the output is used or acted on.,,Only when the task is simple and low-stakes.,,Nowhere — checkpoints slow the process down and should be removed.,,,,,,2,Human checkpoints belong wherever review/approval is required before output is used or acted on — a core step of the integration method.,D4 Workflow Integration & Solution Design
"When communicating Claude's value to the hospital's operations director at a hospital's care-coordination team, which point best conveys concrete value?",multi-choice,That it is a system of record for the business.,,"Time saved, consistency at scale, faster drafts, and better first passes.",,That the tool removes any need for human review going forward.,,That the tool is always factually correct and never needs checking.,,,,,,2,"Value should be framed concretely: time saved, consistency, scale, faster drafts, and freeing experts for judgment work.",D4 Workflow Integration & Solution Design
"When communicating Claude's limitations to the bank's branch operations manager at a regional bank's lending team, which statement is accurate and appropriate to share?",multi-choice,Claude output can be treated as a system of record with no further checks.,,"Claude can hallucinate, needs verification for facts, and is not a substitute for professional sign-off.",,Claude removes the need for any professional or legal review.,,Claude never makes mistakes once configured correctly.,,,,,,2,"Honest limitations include: can hallucinate, needs fact verification, is not a system of record, and doesn't replace professional/legal sign-off. Overselling is a governance and trust risk.",D4 Workflow Integration & Solution Design
"When communicating Claude's fit to stakeholders at an e-commerce retailer's marketing team, you should convey which two of the following? (Choose two.)",multi-choice,That the tool removes any need for human review.,,"Concrete value, such as time saved, consistency, and scale.",,That the tool is always factually correct.,,"Limitations, such as the possibility of hallucination and the need for verification.",,,,,,"2,4",Stakeholder communication should honestly convey both concrete value and real limitations — never overselling correctness or removing the need for review.,D4 Workflow Integration & Solution Design
"The university's provost office at a university's admissions office asks, ""can we just automate student-housing agreement approvals end-to-end?"" What is the best response?",multi-choice,No — Claude cannot help with this kind of work at all.,,"Identify which specific steps Claude can accelerate (e.g., summarizing, flagging) while keeping human review/approval for the final decision.",,Yes — automate the entire process end-to-end immediately.,,Escalate the entire request to a developer without further analysis.,,,,,,2,The balanced answer identifies which steps Claude handles well and where a human checkpoint stays — never a blanket yes or no.,D4 Workflow Integration & Solution Design
"After integrating Claude into a workflow at a hospital's care-coordination team, what is the correct final step of the integration method?",multi-choice,"Pilot on real work, measure against the old baseline, and iterate.",,Skip measurement since newer always means better.,,"Avoid comparing to the previous baseline, since it's now irrelevant.",,Declare success immediately without testing on real work.,,,,,,1,"The integration method ends with piloting on real work, measuring against the baseline, and iterating — confirming it's actually faster/better, not just newer.",D4 Workflow Integration & Solution Design
A regional bank's lending team answers the same recurring questions daily using three underwriting reference PDFs. What is the best setup?,multi-choice,Use the most powerful model available instead of organizing the material.,,Create a Project with instructions plus the PDFs as persistent knowledge.,,Memorize the answers instead of using the reference material.,,Paste the PDFs into every new chat from scratch.,,,,,,2,A Project bundles persistent custom instructions and knowledge sources so the team doesn't re-explain context every chat.,D5 Configuration & Knowledge Management
A Project at an e-commerce retailer's marketing team keeps returning last quarter's promotional pricing sheet instead of current figures. What is the root fix?,multi-choice,Re-prompt more forcefully every time the issue comes up.,,Switch to a different model.,,Replace the outdated document in the Project's knowledge with the current one.,,Start a brand-new Project every single time this happens.,,,,,,3,"Stale Project knowledge is a leading cause of wrong-but-confident output. The fix is to update/replace the outdated knowledge source, not re-prompt harder.",D5 Configuration & Knowledge Management
"A university's admissions office is setting up a Project and needs to decide where a durable, always-applicable rule about tone and format belongs versus a one-off request. Where should the standing rule go?",multi-choice,Buried inside a single one-off prompt.,,"In the custom/system instructions, since instructions define how to behave every time.",,"In the uploaded knowledge, since instructions and knowledge are interchangeable.",,Nowhere — it should be re-typed into every new chat.,,,,,,2,Instructions = how to behave every time (persistent rules); knowledge = what to ground on (reference facts); a prompt = the specific ask right now. Durable rules belong in instructions.,D5 Configuration & Knowledge Management
A hospital's care-coordination team is writing system-level instructions for a new Project. Which practice reflects good instruction-writing?,multi-choice,"Writing a vague instruction like ""be helpful"" with no further detail.",,"Defining the role and audience, stating tone/format/length defaults, and listing explicit do's and don'ts.",,Leaving the instructions unchanged indefinitely regardless of how standards evolve.,,Burying one-off task details permanently inside the standing instructions.,,,,,,2,"Good instructions define the role/audience, state tone/format/length defaults, and list explicit do's/don'ts, pointing to the knowledge sources of truth.",D5 Configuration & Knowledge Management
A regional bank's lending team is deciding which connectors to enable for a new Project. What is the best practice regarding connectors and data sensitivity?,multi-choice,"Connect every available source by default, regardless of necessity.",,"Avoid connectors entirely, even when they're the appropriate approved source.",,Let each team member decide access independently with no policy alignment.,,"Connect only what's needed and permitted, minding data sensitivity.",,,,,,4,"Connectors should be connected only when needed and permitted, with data sensitivity considerations in mind — consistent with governance policy.",D5 Configuration & Knowledge Management
"Several months after setup, a Project at an e-commerce retailer's marketing team has not had its instructions or knowledge reviewed. What risk does this create?",multi-choice,"The risk only applies to connectors, never to instructions or knowledge.",,No risk — configuration is set-and-forget once created.,,Stale knowledge and outdated instructions become a leading cause of wrong-but-confident output.,,Reviewing configuration periodically is unnecessary busywork.,,,,,,3,"Configuration is not set-and-forget: knowledge must stay current, instructions must be updated as standards change, and stale material must be pruned.",D5 Configuration & Knowledge Management
"A university's admissions office needs a specific one-off answer for today's unusual request, unrelated to standing team rules. Where does this one-off ask belong?",multi-choice,"Ignored, since one-off requests should never be made.",,"In the momentary prompt itself, not in the Project's permanent instructions or knowledge.",,Permanently added to the Project's system instructions.,,Uploaded as a new permanent knowledge document.,,,,,,2,"Instructions hold durable rules, knowledge holds durable facts, and the momentary, one-off ask belongs in the prompt itself.",D5 Configuration & Knowledge Management
"A hospital's care-coordination team wants Claude to analyze a spreadsheet of patient records containing names and medical record numbers, but policy restricts sharing this regulated personal data. Best action:",multi-choice,Skip the analysis entirely.,,Upload the spreadsheet as-is since the use is only internal.,,"Anonymize/remove the identifiers first, consistent with policy, then proceed with the analysis.",,Upload it but instruct Claude not to retain the data.,,,,,,3,"Remove or anonymize regulated identifiers before use, consistent with policy — this lets the work proceed safely without exposing protected data.","D6 Governance, Risk & Responsible Use"
"At a regional bank's lending team, someone argues it's fine to upload regulated data as-is because the use is ""only internal."" Why does this reasoning fail?",multi-choice,Internal use doesn't waive data-protection controls; the policy still applies.,,It doesn't fail — internal use is always exempt from data-protection policy.,,"It fails only for financial data, never for other regulated categories.",,It fails only if the file is shared outside the company.,,,,,,1,"""It's only internal"" is a classic wrong-but-tempting answer: internal use doesn't waive data-protection controls that a policy requires.","D6 Governance, Risk & Responsible Use"
"At an e-commerce retailer's marketing team, someone suggests uploading regulated data as-is but instructing Claude ""not to retain it."" Why is this insufficient?",multi-choice,An instruction to the model is not a policy control and doesn't satisfy governance requirements.,,"It is sufficient only for financial data, never healthcare data.",,This is actually a fully sufficient safeguard on its own.,,It is sufficient as long as the instruction is worded firmly.,,,,,,1,"Telling the model not to retain data is an instruction to the model, not a policy control — it doesn't satisfy governance or compliance requirements.","D6 Governance, Risk & Responsible Use"
Which of the following is an inappropriate use of Claude at a university's admissions office?,multi-choice,Drafting a routine campus-event reminder email that a person will edit and review.,,Summarizing a public report for internal awareness.,,Making a final hiring or termination decision from résumés with no human review.,,Brainstorming campaign or program ideas.,,,,,,3,"Unreviewed high-stakes decisions (like final hiring/termination calls) are an inappropriate use case; drafting, summarizing, and brainstorming with human review are appropriate.","D6 Governance, Risk & Responsible Use"
"At a hospital's care-coordination team, following a use of Claude would be faster if a team member ignored the organization's AI data-handling policy for this one task. What should they do?",multi-choice,Do whatever gets the task done fastest.,,"Ignore the policy just this once, since it's a single, isolated task.",,"Follow the policy — it governs, and the team member should consult the policy owner if it's unclear.",,Ask Claude whether the policy applies instead of consulting the policy owner.,,,,,,3,"Organizational policy is the governing authority. When in doubt, follow it and consult the owner — policy outranks convenience or speed.","D6 Governance, Risk & Responsible Use"
A team member at a regional bank's lending team passes off an unverified Claude output as a confirmed fact to the Chief Risk Officer. Which ethical principle does this violate?,multi-choice,Fairness and bias — this is unrelated to how groups are represented.,,Privacy and consent — this is unrelated to personal data use.,,None — presenting unverified claims as fact is acceptable if the output sounds confident.,,Accuracy and honesty — unverified output should not be presented as confirmed fact.,,,,,,4,"Accuracy and honesty require not passing off unverified AI output as confirmed fact, and disclosing AI use where expected.","D6 Governance, Risk & Responsible Use"
An output for an e-commerce retailer's marketing team systematically describes certain groups of people less favorably than others with no factual basis. Which ethical principle does this concern?,multi-choice,Transparency and accountability — about who owns the decision.,,Privacy and consent — about personal data use.,,None of these — tone differences are never a concern.,,"Fairness and bias — watch for skewed or discriminatory output, especially about people.",,,,,,4,"Fairness and bias covers skewed or discriminatory output, especially when it concerns groups of people.","D6 Governance, Risk & Responsible Use"
"After Claude drafts a recommendation for a university's admissions office, who is ultimately accountable for the decision that follows?",multi-choice,"Whoever is fastest to act on the recommendation, regardless of role.",,No one needs to own the decision once Claude has produced it.,,"A person — transparency and accountability mean a human owns the decision, not the model.",,"Claude itself, since it produced the recommendation.",,,,,,3,Transparency and accountability require that a person owns the decision — the model never bears accountability for outcomes.,"D6 Governance, Risk & Responsible Use"
Which pair correctly matches an appropriate and an inappropriate use of Claude at a hospital's care-coordination team?,multi-choice,Appropriate: evading governance controls. Inappropriate: working on de-identified data.,,Appropriate: feeding regulated data against policy. Inappropriate: drafting with human review.,,Appropriate: presenting AI output as verified fact. Inappropriate: brainstorming ideas.,,Appropriate: productivity/drafting with human review. Inappropriate: feeding regulated data against policy.,,,,,,4,"Appropriate uses include productivity/drafting/analysis with human review; inappropriate uses include feeding regulated data against policy, unreviewed high-stakes decisions, and evading controls.","D6 Governance, Risk & Responsible Use"
An output for a regional bank's lending team comes back generic and off-target. What is the most likely cause and fix?,multi-choice,The model is fundamentally incapable of this kind of task.,,"The prompt was too vague or missing context/audience; add specificity, audience, format, and examples.",,The context window is overloaded; the only fix is restarting from zero.,,The knowledge source is stale; replace the reference document.,,,,,,2,"Generic/off-target output most often traces to a vague prompt missing context or audience — the fix is adding specificity, not other changes.",D7 Troubleshooting & Optimization
"During a long thread planning a new fulfillment workflow, Claude keeps forgetting earlier points and the output visibly drifts. What is the likely cause and fix?",multi-choice,The knowledge source is outdated and needs replacing.,,The prompt was too vague; add more adjectives to the wording.,,The model needs to be switched to a cheaper tier.,,"The context window is overloaded; summarize the key points or restart, persisting the stable facts.",,,,,,4,"Drifting or forgetting earlier points points to an overloaded context window; the fix is to summarize or restart, persisting stable facts.",D7 Troubleshooting & Optimization
An output for a university's admissions office includes wrong facts and fabricated details that sound plausible. What is the likely cause and fix?,multi-choice,"Hallucination from an ungrounded task; provide the source material and verify, adding grounding.",,The task was decomposed into too many small steps.,,The output format chosen was inline chat instead of an artifact.,,The model is simply too slow for this kind of task.,,,,,,1,"Wrong facts or fabricated details point to hallucination from lack of grounding; the fix is to provide the source, verify, and add grounding.",D7 Troubleshooting & Optimization
A Project at a hospital's care-coordination team keeps giving outdated answers about last quarter's insurance reimbursement rates. What is the likely cause and fix?,multi-choice,The model tier is too powerful for the task.,,Stale Project knowledge or instructions; update the knowledge source.,,The prompt lacks decomposition into ordered steps.,,The context window has drifted mid-conversation.,,,,,,2,"Outdated answers usually trace to stale Project knowledge/instructions — the fix is updating the knowledge source, not re-prompting harder.",D7 Troubleshooting & Optimization
"A regional bank's lending team finds that using Claude at scale for 50,000 support tickets by topic has become too slow and too costly. What is the likely cause and fix?",multi-choice,The task needs to be handed off to a completely different vendor.,,The knowledge source is stale and needs replacing.,,An over-powered model for the task; right-size the model and simplify the workflow.,,The prompt is too specific and needs to be made vaguer.,,,,,,3,"Slow, costly performance at scale usually traces to an over-powered model for the task; right-sizing the model controls cost/latency without losing needed quality.",D7 Troubleshooting & Optimization
An e-commerce retailer's marketing team is optimizing a Claude-assisted workflow and wants to know what actually improved results. What is the correct approach?,multi-choice,"Change one variable at a time — form a hypothesis, change it, and compare against the baseline.",,Avoid forming any hypothesis and simply try random adjustments.,,Change every variable at once to save time on multiple test rounds.,,Skip comparison to the baseline since newer always means better.,,,,,,1,Optimize like a scientist: change one variable at a time and compare — changing everything at once hides what actually helped.,D7 Troubleshooting & Optimization
