Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"Which failure is hardest to detect by reading an output carefully, and what does that imply for how it is checked?",multiple-choice,"Bias, because the slant is distributed across the whole document rather than sitting in one place.",,"Fabrication, because invented material is written in the same register as everything else.",,"Contradiction, because the conflicting statements may be pages apart in a long document.",,"Omission, because nothing on the page signals it — the check has to run against the request.",,,,,,4,"Contradictions, fabrications and bias are all present on the page and can be found by reading, however difficult. An omission leaves no trace at all, so re-reading the output cannot surface it — the only way to find it is to check the output against the original request, item by item. That difference is what makes completeness a separate review pass.",D2 Output Evaluation & Validation
A document is translated into a language nobody on the team reads. What is the appropriate verification approach?,multiple-choice,Ask for a confidence rating on the translation and accept it above an agreed threshold.,,Translate it back into the original language and compare against the source document.,,"Check that the structure, numbers and proper nouns survived, which covers the main risks.",,"Have a qualified speaker review it, since no in-team check can establish accuracy here.",,,,,,4,"Where the team cannot evaluate the output at all, no internal procedure substitutes for someone who can. Back-translation can obscure an error by reproducing it in reverse, and structural checks confirm that figures and names carried across while saying nothing about whether the prose is accurate or idiomatic. Confidence ratings are generated text.",D2 Output Evaluation & Validation
During review a manager objects to an output's phrasing while agreeing every fact is correct. How should that be handled?,multiple-choice,"As a prompt failure, since the original request should have specified the phrasing wanted.",,"As acceptable output, since factual correctness is what the review process actually exists to confirm.",,"As an accuracy issue, since phrasing a fact poorly misrepresents what the fact actually is.",,"As a fitness-for-audience revision, holding the verified facts fixed while the pitch is changed.",,,,,,4,"Separating factual correctness from fitness for audience keeps a review from conflating two different judgments. The facts have passed; what remains is a presentation change, made by re-pitching the draft while holding the verified content fixed. Treating style as accuracy risks re-litigating settled facts, and dismissing it ignores that the document has to work for its reader.",D2 Output Evaluation & Validation
"A list of forty-two affected accounts is requested and thirty-eight are returned, with no indication anything is missing. What does this most likely indicate, and what follows?",multiple-choice,"A source data problem, since the four absent accounts may not be present in the input at all.",,"A context limit, which means the request should be split into smaller batches and re-run.",,"A silent completeness failure, which is why the count is checked against the source rather than the output.",,"A filtering decision, which the output should be asked to explain before that list is used any further.",,,,,,3,"Output that is silently short is the characteristic completeness failure, and reading the list will never reveal it because the thirty-eight present are all correct. Reconciling the count against the source is the check. The cause may turn out to be any of the others, but establishing that something is missing comes first.",D2 Output Evaluation & Validation
An output refers to a policy as current that was superseded four months ago. The source material supplied was accurate. Where does the fault most likely lie?,multiple-choice,"In the material supplied, which may have included the superseded version alongside the current one.",,"In the prompt, which did not state that only the most recent version of a policy should be used.",,"In the model's training data, which will contain the older policy and not its more recent replacement.",,"In the review process, which should have caught a date error before the output was circulated.",,,,,,1,"The stem states the supplied material was accurate, which points at what else was in context — most commonly both versions present, leaving the output to draw on either. Training data is a plausible source of stale content generally but not when grounding material was supplied. Review catches the error rather than causing it.",D2 Output Evaluation & Validation
Which is the strongest evidence that an output was grounded in the material provided rather than generated from general knowledge?,multiple-choice,Claims that quote the supplied text and can be located in it by a reader checking them.,,Absence of any claim that contradicts what the supplied material says about the subject.,,An explicit statement in the output that its conclusions are based on the supplied material.,,Consistent use of the terminology and section names that appear in the supplied material.,,,,,,1,"Quotation that a reader can locate is checkable, which is what distinguishes grounding from the appearance of it. Matching vocabulary is easily produced from context without the substance following, a statement about grounding is an assertion rather than evidence, and consistency with the source is also satisfied by generic content that happens not to conflict.",D2 Output Evaluation & Validation
A bulk classification job produces ten thousand labelled records. What review design gives the most useful signal for the effort spent?,multiple-choice,"A review of the first two hundred records, which establishes whether the job had started correctly.",,"A stratified sample across label types, since error rates commonly differ sharply between them.",,A review of the records the model labelled with the least common category in the whole set.,,A full review of one percent chosen at random from across the whole of the labelled output.,,,,,,2,"Error rates vary by class, so a sample drawn evenly across the whole output can be dominated by whichever label is most common and hide a category that is failing badly. Stratifying by label surfaces that. Reviewing the opening records tests only the beginning, and a single rare category is one segment rather than a picture of the whole.",D2 Output Evaluation & Validation
"An output states a conclusion the reviewer believes is correct, but the reasoning given to reach it contains an error. What should be done?",multiple-choice,"Accept it, since the conclusion is what the output is for and it has already been independently judged sound.",,"Regenerate the whole output, since reasoning errors indicate the task was misunderstood entirely.",,"Correct the reasoning and keep the conclusion, since only the presentation of the work is wrong.",,"Treat it as a defect, since a right answer reached by faulty reasoning will not hold on the next case.",,,,,,4,"A correct conclusion from faulty working is a coincidence rather than a result, and the same process applied to the next case will not reliably land in the right place. Recording it as a defect is what keeps that from being missed. Silently correcting the reasoning to fit a conclusion you have already accepted inverts the order in which the judgment should be made.",D2 Output Evaluation & Validation
"Which situation makes verification genuinely impossible rather than merely difficult, and what is the right response?",multiple-choice,"The source is long, so verification would take more time than the deadline realistically allows.",,"The reviewer lacks the domain expertise, so an expert has to be found before the check can run.",,"The claim concerns information no accessible source records, so the claim cannot be used as fact.",,"The claim is about the future, so no source could confirm it until the period has actually passed.",,,,,,3,"When nothing accessible records the information, checking is not slow but impossible, and the honest response is to stop presenting it as established. Time pressure and missing expertise are constraints on who checks and when, both of which have solutions. A forecast is not a factual claim and is evaluated on its stated basis rather than verified.",D2 Output Evaluation & Validation
A task requires reasoning over a document larger than the model can consider at once. Would a more capable model resolve this?,multiple-choice,"Yes, provided the document is supplied as a file rather than pasted into the conversation.",,"Yes, since more capable models are able to work with substantially larger bodies of material.",,"Not by itself, since the document would need reformatting before any model at all could work with it.",,"Not by itself, since capability and how much text can be considered at once are separate limits.",,,,,,4,"How much material can be taken into account in one pass is a distinct constraint from how hard a problem the model can reason about, and escalating capability does not lift it. The task has to be restructured — summarizing sections and synthesizing, or working the relevant part rather than the whole. Delivery format does not change what fits.",D3 Product & Model Selection
A one-off analysis needs three reference documents and will not be repeated. Is a Project warranted?,multiple-choice,"No, since three documents is below the number at which a Project becomes worth configuring.",,"Yes, since attaching documents to a Project is how reference material is supplied at all.",,"No, since the setup a Project provides pays back only across repeated work of the same shape.",,"Yes, since a Project keeps the analysis readily available should the question be revisited later on.",,,,,,3,"A Project holds standing instructions and persistent knowledge so that repeated work does not re-establish them, and a task done once has nothing to amortize that setup against. Documents can be supplied directly in a conversation. Retention is a weak reason to configure one, and there is no document-count threshold involved.",D3 Product & Model Selection
"When is supplying sources yourself preferable to research mode, given both can ground an answer?",multiple-choice,"When the authoritative sources are already known, so what remains is analysis rather than discovery.",,"When the sources are internal documents, which a research mode is unable to read or cite.",,When the question is simple enough that a search would return rather more material than is needed.,,"When speed matters, since supplying material directly avoids the time a search would take.",,,,,,1,"Research mode earns its cost when the relevant sources have to be found and synthesized. Where the team already knows which documents govern, searching re-solves a solved problem and risks pulling in material of lower authority. Question simplicity and turnaround are secondary, and the distinction is about discovery rather than about where a document happens to live.",D3 Product & Model Selection
A deliverable will go through eight or nine rounds of revision with a group of reviewers. What does that argue for?,multiple-choice,"An artifact, which is built to be revised in place and shared as a single evolving document.",,"A fresh conversation per revision, so each round starts without the previous discussion in context.",,"A more capable model, since revision quality matters more than speed on a long review cycle.",,"A Project, so the revision history and the reviewers' comments persist across the whole cycle.",,,,,,1,"Heavy iteration on one self-contained deliverable is the case artifacts exist for: the document is revised in place rather than regenerated into the conversation each time. A Project organizes standing context across many tasks, which is a different need. Starting fresh each round discards the accumulated direction the revisions have established.",D3 Product & Model Selection
A team reports that answers stopped reflecting a constraint agreed early in a long conversation. What does that indicate?,multiple-choice,"The constraint was stated too informally, and it should have been given as an explicit written rule.",,"The earlier turns have fallen outside what is still being considered, so the constraint needs restating.",,The model tier is insufficient to hold a constraint across a conversation of that overall length.,,"The conversation has accumulated contradictory instructions, and the most recent one is winning.",,,,,,2,A constraint honoured early and dropped later is the signature of the earlier turns no longer being in view. The remedy is to restate what still governs — or to start fresh with a curated summary and move standing items somewhere persistent. Wording and tier do not explain behaviour that was correct at first and changed as the conversation grew.,D3 Product & Model Selection
"What is the cost of routing a simple, very high-volume classification task to the most capable model available?",multiple-choice,"The output becomes more verbose, which then requires additional processing to reduce again.",,"Accuracy falls, since the most capable models are optimized for harder and longer problems.",,Cost and latency are spent where the task's difficulty offers no quality in return for them.,,"Nothing measurable, since the difference between tiers is small on a task this straightforward.",,,,,,3,"Matching tier to task is the whole judgment: on work whose difficulty the smaller models already meet, the capable tier buys latency and cost with no quality to show for it, and at very high volume that is the dominant consideration. Accuracy does not fall, and the loss is real rather than negligible once multiplied across the volume.",D3 Product & Model Selection
Partway through a long task a team switches to a different model. What should they expect?,multiple-choice,"The switch is rejected, since a conversation is bound to the model that began it.",,The new model has none of the conversation's history unless that context is supplied to it.,,The output style changes but the accumulated context and constraints are carried across.,,"The conversation continues on seamlessly, since history is held independently of the model.",,,,,,2,"Whatever context a model works from has to be present in the request, so a switch mid-task means re-establishing what was agreed. The practical move is to carry a curated summary across rather than assuming continuity. Nothing prevents the switch; what it costs is the accumulated understanding, which is easy to overlook because the conversation looks unbroken.",D3 Product & Model Selection
A five-step process is being reviewed for where to introduce Claude first. Which step is the best candidate?,multiple-choice,"The step that takes the longest, since that is where the largest time saving will be available.",,"The step people find most tedious, since adoption is easiest where the work is unpopular.",,The language-heavy step whose output a qualified person already reviews before it is used.,,"The final step, since improving the last output improves what the whole process delivers.",,,,,,3,"The best first candidate is language work that already passes through a reviewer, because the existing control absorbs the risk while the benefit is real. Duration, unpopularity and position in the chain describe the appeal of automating something rather than whether doing so is safe. The final step is frequently the consequential one and the worst place to start.",D4 Workflow Integration & Solution Design
"In a claims process, which step should be identified before deciding where a checkpoint goes?",multiple-choice,The step at which the claimant is first informed that a decision has now been made.,,The first step after which the outcome becomes difficult or impossible to reverse.,,The step where the greatest number of people are involved in the handover.,,The step that consumes the largest share of the total time the process takes.,,,,,,2,"Checkpoints belong immediately before the point of no return, so locating that point is what the placement decision depends on. Duration and staffing describe where effort sits rather than where risk does. Notification often follows the irreversible step rather than constituting it, which is exactly why it is the wrong anchor.",D4 Workflow Integration & Solution Design
A manual verification step is removed from a workflow because Claude now performs the same check. What has to be established first?,multiple-choice,"What else that step was catching beyond the check being replaced, since steps often guard more than one thing.",,"Whether the team agrees the step is redundant, since the people performing it understand it best.",,"Whether the time saving justifies the change, measured against the effort of reconfiguring.",,Whether the check can be performed more quickly by Claude than it was performed manually.,,,,,,1,"A long-standing manual step usually catches more than its stated purpose — the person doing it notices adjacent problems nobody wrote down. Establishing what actually passes through it before removing it is what prevents a silent gap. Agreement, saving and speed all presume the substitution is equivalent, which is the thing in question.",D4 Workflow Integration & Solution Design
"A pilot ran for six weeks and the team wants to expand it. Which result would justify expansion, and which would not?",multiple-choice,Consistent usage across the team justifies it; uneven usage would indicate it is not yet ready.,,Measured improvement against the pre-pilot baseline justifies it; enthusiastic user feedback alone does not.,,An absence of any incident justifies it; a small number of handled incidents would argue against it.,,Positive feedback justifies it; a measured comparison is a refinement to make after expanding.,,,,,,2,"A pilot exists to produce evidence, and evidence means a comparison against how the work performed before. Enthusiasm is easy to generate and does not establish that anything improved. An absence of incidents in six weeks is weak evidence either way, and usage measures adoption rather than benefit.",D4 Workflow Integration & Solution Design
"During a pilot, users begin applying the tool to a task outside the agreed scope and report good results. How should that be handled?",multiple-choice,"Stop it, since any use outside the agreed scope undermines the pilot's measurement.",,"Defer it until the pilot concludes, and then include it in the general rollout that follows.",,"Allow it, since users finding additional value is the outcome a pilot hopes to produce.",,"Evaluate the new use on its own terms, since the pilot's evidence does not extend to it.",,,,,,4,"Results from the agreed scope say nothing about a different task with a different risk profile and different controls. Treating the new use as its own question — what could go wrong, what reviews it, what would show it working — is the proportionate response. Blanket permission and blanket prohibition both skip the assessment, and deferral without evaluation just moves it.",D4 Workflow Integration & Solution Design
What is the most important property of the handoff between a Claude-generated draft and the person who acts on it?,multiple-choice,"The reviewer can see what the draft asserts and check it, rather than approving something opaque.",,The draft is delivered quickly enough that the reviewer is not waiting on it to begin work.,,"The draft indicates how confident the model was, so attention goes where it is most needed.",,"The draft arrives in the format the downstream system expects, so that no reformatting is needed.",,,,,,1,"A review that cannot examine what it is approving is a formality. Making the assertions visible and checkable is what turns the handoff into a control. Format and turnaround are real conveniences that do not bear on whether the review functions, and model confidence is generated text rather than a measurement to route attention by.",D4 Workflow Integration & Solution Design
An executive asks whether the new workflow has removed the need for review. What is the appropriate answer?,multiple-choice,"In part, since the routine cases no longer require the scrutiny the exceptional ones still need.",,"Not yet, though review can be reduced once the team has more experience with the outputs.",,"No — review is what makes the output usable, and the workflow was designed around keeping it.",,"Yes for well-understood cases, provided the team monitors for any change in output quality.",,,,,,3,"The honest answer is that review is a designed-in control rather than a temporary precaution during adoption. Answers that concede it may lapse later, or that it already has for easy cases, describe a drift from augmentation to automation without the assessment that change would require. Framing it as scrutiny the routine cases no longer need is the same drift stated more carefully.",D4 Workflow Integration & Solution Design
"Six months after adoption, a workflow described as augmentation now sends most outputs straight to customers. What has happened, and what does it require?",multiple-choice,"It has drifted into automation, which requires the assessment that the original design avoided needing.",,"It has been optimized, which requires monitoring so quality problems are detected as they arise.",,"It has matured, which requires updating the documentation so that the process description matches reality.",,"It has scaled, which requires additional capacity so review can resume at the higher volume.",,,,,,1,"Augmentation and automation carry different obligations, and a workflow that has quietly crossed between them has taken on the second set without anyone deciding to. Recognising it as a change of category is what triggers the assessment. Documentation, monitoring and capacity all treat a governance change as an operational detail.",D4 Workflow Integration & Solution Design
"Before integrating Claude into an existing process, what measurement should be taken and why?",multiple-choice,"How long each step takes today, since time saved is the benefit an integration is judged on.",,"How the process performs today, since without it no later claim of improvement can be supported.",,"How many errors occur today, since error reduction is what the integration is intended to deliver.",,"How satisfied the team is today, since adoption depends on whether people find the change welcome.",,,,,,2,"A baseline is what makes the eventual comparison meaningful, and its scope should cover whatever the integration is meant to improve rather than being fixed in advance on one measure. Choosing time or errors before knowing which matters here narrows the baseline prematurely, and satisfaction measures the change's reception rather than its effect.",D4 Workflow Integration & Solution Design
"What should be defined before a Claude-assisted workflow goes live, in case it does not perform as expected?",multiple-choice,"The conditions under which the team reverts to the previous process, agreed before launch.",,The channel through which users report problems they encounter while using the workflow.,,The frequency at which output quality will be sampled once the workflow is operating.,,The person responsible for investigating any problems once they have been reported by users.,,,,,,1,"Deciding in advance what would cause a revert, and being able to do it, is what keeps a struggling rollout from continuing on optimism. Ownership, sampling and reporting channels are all worth having and all describe how problems surface rather than what happens once they have. The reversion criterion is the one hardest to set fairly after the fact.",D4 Workflow Integration & Solution Design
A rule applies to every output the team produces. A second applies only to quarterly reports. Where does each belong?,multiple-choice,"Both in the request, so the instructions stay short and every rule is visible right where it applies.",,"Both in the Project instructions, so neither depends on somebody remembering to state it.",,The universal rule in the Project instructions; the quarterly one stated when that work is requested.,,The universal rule in the instructions; the quarterly one in the Project's knowledge documents.,,,,,,3,"Instructions carry what applies every time, and anything conditional belongs with the request that triggers it — otherwise a rule for one report shapes every unrelated task. Putting everything in instructions is how they accumulate irrelevant constraints, and knowledge holds reference material rather than behavioural rules.",D5 Configuration & Knowledge Management
Two documents in a Project's knowledge give different figures for the same threshold. What is the correct response?,multiple-choice,"Determine which is authoritative, correct or remove the other, and tell the people relying on it.",,Leave both and rely on requests to specify which document the answer should be drawn from.,,Add an instruction stating which document should be preferred whenever the two disagree.,,Remove both of them until the discrepancy has been investigated and the correct figure established.,,,,,,1,"Contradictory knowledge produces answers that vary unpredictably between sources, so resolving the conflict at its origin is the fix. An instruction preferring one document leaves the wrong figure in place for anyone who reads it directly. Removing both creates a gap where an authoritative answer already exists in one of them.",D5 Configuration & Knowledge Management
A Project set up for contract review is now also being used for supplier correspondence and internal reporting. What risk does that create?,multiple-choice,The Project exceeds the number of documents that can be held as persistent knowledge at once.,,"The conversation history mixes unrelated work, making it harder to locate an earlier discussion.",,Instructions written for one kind of work now shape output for tasks they were never meant to govern.,,"The knowledge base becomes larger, which slows retrieval and makes the relevant documents harder to find.",,,,,,3,"A Project's instructions are applied to everything done within it, so scope creep silently applies contract-review conventions to correspondence and reporting. Splitting the Project, or narrowing the instructions and stating the rest per task, resolves it. Retrieval and history are inconveniences rather than correctness problems.",D5 Configuration & Knowledge Management
"What event should trigger a review of a Project's instructions and knowledge, beyond a fixed schedule?",multiple-choice,The addition of a new member to the team who will be working within that Project.,,"A change in what the Project is used for, or in the source material its answers depend on.",,A change in the model tier being used for the work carried out inside the Project.,,A complaint from a user about the quality of the output that the Project has been producing.,,,,,,2,"Configuration goes stale when the world it describes moves, so a change in purpose or in the underlying sources is the real trigger. Waiting for a complaint means relying on someone noticing, and stale configuration characteristically fails silently by producing confident answers from outdated material. Onboarding and tier changes do not alter what the configuration should say.",D5 Configuration & Knowledge Management
A new team member joins and produces noticeably worse output from the same shared Project. What is the most likely explanation?,multiple-choice,The Project's instructions are written for people who already know the domain that is being worked in.,,They are supplying less of the per-request context that experienced users add without noticing.,,They have not yet been granted access to all of the knowledge documents the Project holds.,,They are using a different model tier from the rest of the team for the same kind of work.,,,,,,2,"Shared configuration handles what is constant; the rest is supplied per request, and experienced users add it so habitually they no longer notice they are doing it. Making that implicit context explicit is the fix. Access differences and tier differences are worth ruling out and would usually be visible, and instructions written for insiders is a real problem that the Project's other users would also be feeling.",D5 Configuration & Knowledge Management
Which principle should govern which connectors a Project has enabled?,multiple-choice,"Those the majority of the team's tasks require, with any exceptions requested as they arise.",,Only those that have been reviewed by the security team within the past twelve months.,,"All those the team has access to, so the work is never blocked by a missing connection.",,"Only those the work requires and policy permits, given the sensitivity of the data involved.",,,,,,4,"Connector access is scoped to what the work actually needs and what policy allows for the data class in play, which limits exposure without impeding the work. Enabling everything available maximizes reach and exposure together. A review date is a useful control rather than the selection criterion, and majority need leaves the sensitivity question unasked.",D5 Configuration & Knowledge Management
A knowledge document is replaced with a newer revision. What else should happen?,multiple-choice,The previous revision should be retained alongside it so that earlier answers remain reproducible.,,"The people who rely on the Project should be told what changed, since answers will now differ.",,The instructions should be updated to reference the new revision number explicitly.,,The Project should be re-tested against a set of questions with known correct answers.,,,,,,2,"A knowledge change alters what the Project will say, and users who are not told may reasonably assume continuity with answers they received last week. Retaining the old revision reintroduces the contradiction that replacing it resolved. Version references in instructions add maintenance, and re-testing is good practice that does not address the communication gap.",D5 Configuration & Knowledge Management
Applicants receive decision letters partly drafted with Claude and reviewed by a caseworker. Should they be told?,multiple-choice,"No, since a caseworker reviews and owns every letter before it is issued to an applicant.",,"Yes, since any use of an AI system in a process affecting people must always be fully disclosed.",,"No, since disclosure would undermine confidence in decisions that are properly made.",,"It depends on what policy and the applicable rules require, which is the question to settle first.",,,,,,4,Disclosure obligations come from policy and the applicable regime rather than from a general principle or from a judgment about what would be well received. Establishing what actually applies is the first move. Human review is a real and relevant fact that does not by itself settle whether disclosure is required.,"D6 Governance, Risk & Responsible Use"
A team wants to keep conversation histories indefinitely as an internal reference. What does that decision require?,multiple-choice,"A storage plan, since indefinite retention accumulates material that has to be held somewhere.",,"A retention position for whatever data those conversations contain, decided by whoever owns it.",,"A search capability, since a reference nobody can search provides no value to the team.",,"An access list, since conversation histories should be readable only by the original participants.",,,,,,2,"Retaining conversations retains whatever entered them, which makes it a data decision rather than a storage one, and it belongs with whoever owns that data class. Storage, search and access are all real considerations that presume the retention itself has already been agreed, which is exactly the step being skipped.","D6 Governance, Risk & Responsible Use"
An analyst wants to paste a client's confidential document into a prompt to summarize it. What governs whether that is permissible?,multiple-choice,"The organization's AI policy, which is the internal rule covering how such tools are used.",,"The sensitivity of the document, judged against how much of it the task actually requires.",,"Policy and the client agreement together, with the stricter of the two setting the limit.",,Whether the summary will be shared outside the team that is producing it internally.,,,,,,3,Two sets of obligations apply — the internal policy and whatever was agreed with the client — and where they differ the stricter governs. Consulting only the internal policy misses a contractual restriction that may be tighter. Minimization and onward sharing are correct practices that operate within the limit rather than establishing it.,"D6 Governance, Risk & Responsible Use"
A decision is made on the basis of a Claude-assisted analysis and later proves wrong. Where does accountability sit?,multiple-choice,With the person who reviewed the analysis and made the decision on the strength of it.,,"It is shared, since the analysis and the decision both contributed to the eventual outcome.",,With the team that configured the Project and supplied the material the analysis used.,,"With whoever wrote the prompt, since the analysis reflects how the task was specified.",,,,,,1,"Accountability follows the decision, and a person who reviewed an analysis and acted on it owns the outcome — which is precisely why the review has to be real rather than nominal. Configuration and prompting quality are proper subjects for the examination that follows, without transferring responsibility away from the decision-maker.","D6 Governance, Risk & Responsible Use"
